depmap_id,CellLineName,lineage,OncotreePrimaryDisease,RTR_score_combined_rank_0_1,combined_RTR_quadrant,RTR_high_removal_high_quadrant_combined,KIF11,KIF11_dependency_score,exclude_bone_or_soft_tissue
ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,0.7770833333333333,repair-low / removal-high,False,-3.129890070452169,3.129890070452169,False
ACH-000090,PC-3,Prostate,Prostate Adenocarcinoma,0.2270833333333333,repair-low / removal-low,False,-2.676000016041736,2.676000016041736,False
ACH-000118,HUP-T3,Pancreas,Pancreatic Adenocarcinoma,0.2041666666666666,repair-low / removal-low,False,-2.7359599330265643,2.7359599330265643,False
ACH-000133,Hs 729,Fibroblast,Non-Cancerous,0.7541666666666667,repair-high / removal-high,True,-2.999328942714589,2.999328942714589,False
ACH-000155,SW 1990,Pancreas,Pancreatic Adenocarcinoma,0.54375,repair-high / removal-low,False,-2.6092572878810767,2.6092572878810767,False
ACH-000164,PANC-1,Pancreas,Pancreatic Adenocarcinoma,0.1166666666666666,repair-high / removal-low,False,-3.184588699876401,3.184588699876401,False
ACH-000261,RERF-LC-AI,Lung,Non-Small Cell Lung Cancer,0.8791666666666667,repair-low / removal-high,False,-3.152632158781821,3.152632158781821,False
ACH-000307,PK-1,Pancreas,Pancreatic Adenocarcinoma,0.2520833333333333,repair-low / removal-high,False,-3.718898550005492,3.718898550005492,False
ACH-000332,YAPC,Pancreas,Pancreatic Adenocarcinoma,0.175,repair-low / removal-low,False,-3.012173393900423,3.012173393900423,False
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,0.01875,repair-low / removal-low,False,-3.4181099210743824,3.4181099210743824,False
ACH-000383,OE33,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.0416666666666666,repair-low / removal-low,False,-2.881274637543066,2.881274637543066,False
ACH-000476,JHH-4,Liver,Hepatocellular Carcinoma,0.00625,repair-low / removal-low,False,-2.7356978335359674,2.7356978335359674,False
ACH-000480,HuH-7,Liver,Hepatocellular Carcinoma,0.0083333333333333,repair-high / removal-low,False,-3.004912385119757,3.004912385119757,False
ACH-000493,SNU-423,Liver,Hepatocellular Carcinoma,0.80625,repair-low / removal-high,False,-2.4415734952181243,2.4415734952181243,False
ACH-000524,KURAMOCHI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,0.7145833333333333,repair-high / removal-high,True,-1.858748545017648,1.858748545017648,False
ACH-000545,VM-CUB1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.7416666666666667,repair-high / removal-high,True,-2.6665659402699973,2.6665659402699973,False
ACH-000552,HT-29,Bowel,Colorectal Adenocarcinoma,0.2604166666666667,repair-low / removal-low,False,-2.4440965520918225,2.4440965520918225,False
