comparison,gene,axis_membership,n_pos,n_neg,median_dep_pos,median_dep_neg,delta,mw_auc,p,FDR_within_comparison
RTR_high_removal_high_vs_other_all,AKT1,AKT_PI3K_survival,93,376,0.0813036998753017,0.040127244675245796,0.0411764552000559,0.5685769846716999,0.040497669503557605,0.5714506339358175
RTR_high_removal_high_vs_other_all,AKT2,AKT_PI3K_survival,93,376,0.0705025570915064,0.057562662302105855,0.012939894789400538,0.5356325783573553,0.28720839199166404,0.6974192115042702
RTR_high_removal_high_vs_other_all,AKT3,AKT_PI3K_survival,93,376,-0.0660309946939458,-0.08831933176537896,0.022288337071433156,0.551990391214825,0.12041522297206345,0.5714506339358175
RTR_high_removal_high_vs_other_all,ATIC,nucleotide_antifolate,93,376,0.2520778608751791,0.30735042079047625,-0.05527255991529717,0.4484671699839854,0.12371611662528008,0.5714506339358175
RTR_high_removal_high_vs_other_all,ATM,DDR_CHK_ATR;prior_DDR_checkpoint,93,376,0.0842662192260907,0.00194481640614875,0.08232140281994195,0.61238846945779,0.0007859012658171507,0.07623242278426362
RTR_high_removal_high_vs_other_all,ATR,DDR_CHK_ATR;prior_DDR_checkpoint,93,376,1.1066872834207544,1.1181199747650865,-0.011432691344332113,0.49256463051933197,0.8245164421571982,0.956322159282543
RTR_high_removal_high_vs_other_all,AURKA,mitotic_kinase_PLK_AUR,93,376,1.1926272570493437,1.1906082282967003,0.0020190287526433703,0.5138126286890872,0.6801263111816764,0.930666248064727
RTR_high_removal_high_vs_other_all,AURKB,mitotic_kinase_PLK_AUR,93,376,2.198163728116445,2.1076011879120795,0.0905625402043655,0.5578242964996568,0.08410503965149017,0.5714506339358175
RTR_high_removal_high_vs_other_all,AURKC,mitotic_kinase_PLK_AUR,93,376,-0.0030597430451796,-0.008421973987657799,0.005362230942478199,0.5331159917638985,0.32262859600352434,0.7273551106204974
RTR_high_removal_high_vs_other_all,BAK1,apoptosis_MCL1_BCL;prior_apoptosis_core,93,376,0.3092343891546913,0.3531864335024101,-0.043952044347718766,0.4473804621368108,0.11598954884113834,0.5714506339358175
RTR_high_removal_high_vs_other_all,BAX,apoptosis_MCL1_BCL;prior_apoptosis_core,93,376,-0.0605869396927753,-0.0628586834805955,0.0022717437878202046,0.49190688629604207,0.8092505042400862,0.956322159282543
RTR_high_removal_high_vs_other_all,BBC3,prior_p53_decision,93,376,0.0823262711300639,0.0976779822827481,-0.015351711152684203,0.45418668496911463,0.1711670178186654,0.5924476426894522
RTR_high_removal_high_vs_other_all,BCL2,apoptosis_MCL1_BCL;prior_apoptosis_core,93,376,-0.0118230951119804,-0.017540465448370797,0.005717370336390398,0.5396648364218715,0.23611689619632636,0.6362038591956571
RTR_high_removal_high_vs_other_all,BCL2L1,apoptosis_MCL1_BCL;prior_apoptosis_core,93,376,0.9905630665210684,1.0021664554857797,-0.011603388964711248,0.502259208419126,0.9465201183124734,0.9850408725331034
RTR_high_removal_high_vs_other_all,BCL2L11,apoptosis_MCL1_BCL,93,376,-0.0104231130668913,0.00115802173509235,-0.01158113480198365,0.4748341340654312,0.45233810510727723,0.8278640791586018
RTR_high_removal_high_vs_other_all,BIRC5,apoptosis_MCL1_BCL,93,376,2.015449506061384,1.9159445102069643,0.09950499585441985,0.5554506977808282,0.09763553009491585,0.5714506339358175
RTR_high_removal_high_vs_other_all,BRCA1,DDR_CHK_ATR;prior_DDR_checkpoint,93,376,0.5381582348286138,0.5055477851052625,0.032610449723351254,0.5589110043468314,0.07843843773830957,0.5714506339358175
RTR_high_removal_high_vs_other_all,BRCA2,DDR_CHK_ATR;prior_DDR_checkpoint,93,376,0.5379274358389042,0.5124738544467333,0.02545358139217091,0.5431823381377259,0.19710253065492622,0.6167401765654144
RTR_high_removal_high_vs_other_all,BUB1,microtubule_spindle,93,376,0.6477080460991725,0.6660553516994225,-0.018347305600249997,0.47083047357584074,0.383671614192284,0.7918329058862031
