depmap_id,CCLEName,OncotreeLineage,OncotreePrimaryDisease,TP53_refined_status,any_TP53_LoF_high_impact,RTR_score_combined_rank_0_1,combined_RTR_quadrant,secondary_repair_preservation,secondary_repair_preservation_rank,secondary_removal_vulnerability,secondary_removal_vulnerability_rank,primary_repair_preservation,primary_repair_preservation_rank,primary_removal_vulnerability,primary_removal_vulnerability_rank,combined_repair_preservation_rank,combined_removal_vulnerability_rank,secondary_any_repair_median_auc,secondary_removal_median_auc,primary_any_repair_median_logfc,primary_removal_median_logfc,secondary_RTR_delta_any_repair_minus_removal,primary_RTR_delta_any_repair_minus_removal,RTR_score_formula_note,RTR_high_removal_high_quadrant_combined,RTR_high_top20pct,RTR_low_bottom20pct
ACH-000389,H4_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Adult-Type Diffuse Glioma,TP53 mutation-not-called,False,0.9946330738177624,repair-high / removal-high,1.32080579824196,0.99375,0.2128961913773605,0.69375,-0.010800198912945,0.5432525951557093,0.998326806166,0.9878892733564014,0.7685012975778547,0.8408196366782007,1.32080579824196,0.7871038086226395,-0.010800198912945,-0.998326806166,0.5337019896193206,0.987526607253055,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-001205,TC32_BONE,Bone,Ewing Sarcoma,TP53 mutation-not-called,False,0.9930795847750864,repair-low / removal-high,,,,,-0.1166002070835,0.1228373702422145,1.14657022822,0.9948096885813148,0.1228373702422145,0.9948096885813148,,,-0.1166002070835,-1.14657022822,,1.0299700211365,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000446,KPNSI9S_AUTONOMIC_GANGLIA,Peripheral Nervous System,Neuroblastoma,TP53 mutation-not-called,False,0.9775086505190312,repair-low / removal-high,,,,,-0.2147665102625,0.0121107266435986,1.068963385865,0.991349480968858,0.0121107266435986,0.991349480968858,,,-0.2147665102625,-1.068963385865,,0.8541968756025,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000013,ONCODG1_OVARY,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,TP53 LoF/high-impact,True,0.9767661476355248,repair-high / removal-high,1.15020730861595,0.9041666666666668,0.248596348407996,0.8875,0.184684494973,0.9878892733564014,0.69614757413,0.903114186851211,0.946027970011534,0.8953070934256055,1.15020730861595,0.751403651592004,0.184684494973,-0.69614757413,0.3988036570239461,0.8808320691029999,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-001078_FAILED_STR,,,,TP53 mutation-not-called,False,0.9757785467128028,repair-low / removal-high,,,,,-0.0661687587243499,0.301038062283737,0.9191908761775,0.9826989619377162,0.301038062283737,0.9826989619377162,,,-0.0661687587243499,-0.9191908761775,,0.8530221174531499,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000499,EW8_BONE,Bone,Ewing Sarcoma,TP53 LoF/high-impact,True,0.9705882352941176,repair-high / removal-high,,,,,-0.00257671244252,0.5761245674740484,0.836175946057,0.9619377162629758,0.5761245674740484,0.9619377162629758,,,-0.00257671244252,-0.836175946057,,0.83359923361448,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000925_FAILED_STR,,,,TP53 mutation-not-called,False,0.967128027681661,repair-low / removal-high,,,,,-0.0822657118144,0.2301038062283737,0.904732643956,0.9757785467128028,0.2301038062283737,0.9757785467128028,,,-0.0822657118144,-0.904732643956,,0.8224669321415999,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000163,SW579_THYROID,Head and Neck,Head and Neck Squamous Cell Carcinoma,TP53 LoF/high-impact,True,0.9601535467128028,repair-high / removal-high,1.08792181296277,0.8145833333333333,0.3106366786744245,0.9979166666666668,0.2994923967339999,0.9982698961937716,0.4851131250935,0.643598615916955,0.9064266147635524,0.8207576412918108,1.08792181296277,0.6893633213255754,0.2994923967339999,-0.4851131250935,0.3985584916371945,0.7846055218275,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000200,NMCG1_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Adult-Type Diffuse Glioma,TP53 mutation-not-called,False,0.9567474048442908,repair-high / removal-high,,,,,0.0845323414902,0.8650519031141869,0.7149510860035,0.916955017301038,0.8650519031141869,0.916955017301038,,,0.0845323414902,-0.7149510860035,,0.7994834274936999,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000879,MFE296_ENDOMETRIUM,Uterus,Endometrial Carcinoma,TP53 LoF/high-impact,True,0.9555795847750864,repair-high / removal-high,1.095333616492,0.8270833333333333,0.253683669984699,0.9104166666666668,-0.0509143562672499,0.3512110726643598,0.97413371086,0.9844290657439446,0.5891472029988466,0.9474228662053056,1.095333616492,0.746316330015301,-0.0509143562672499,-0.97413371086,0.349017286476699,0.92321935459275,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
