repair_hit,removal_axis_hit,n_rows,median_combo_score,mean_combo_score
,CHK/DDR/checkpoint;antifolate/nucleotide,93,-29.5,-33.05172413793103
,CHK/DDR/checkpoint;topoisomerase/DNA_damage;antifolate/nucleotide,2,-25.75,-32.577586206896555
,antifolate/nucleotide,186,-25.25,-28.43220338983051
,microtubule/tubulin,379,-16.0,-17.23913043478261
,microtubule/tubulin;CHK/DDR/checkpoint;antifolate/nucleotide,4,-15.5,-22.60906984442238
,microtubule/tubulin;antifolate/nucleotide,8,-13.75,-15.095641646489105
,microtubule/tubulin;topoisomerase/DNA_damage,8,-18.5,-25.423517520215633
,topoisomerase/DNA_damage,176,-16.0,-17.822033898305087
,topoisomerase/DNA_damage;antifolate/nucleotide,4,-34.25,-31.8291934541204
amifostine,,91,-25.0,-29.29824561403509
amifostine,CHK/DDR/checkpoint;antifolate/nucleotide,1,-59.5,-67.91379310344827
amifostine,antifolate/nucleotide,2,-17.0,-12.855778120184901
amifostine,microtubule/tubulin,4,-46.25,-38.271243842364534
amifostine,topoisomerase/DNA_damage,2,-31.0,-32.69491525423729
amifostine;celecoxib,,1,-42.5,-46.36206896551724
amifostine;dexrazoxane,,1,8.0,20.864406779661017
celecoxib,,91,-27.0,-32.23728813559322
celecoxib,CHK/DDR/checkpoint;antifolate/nucleotide,1,-18.5,-15.384615384615385
celecoxib,antifolate/nucleotide,2,-34.0,-41.62969128329298
celecoxib,microtubule/tubulin,4,37.75,32.40303884711779
celecoxib,topoisomerase/DNA_damage,2,30.25,35.494593804792515
dexrazoxane,,93,-10.0,-9.68421052631579
dexrazoxane,CHK/DDR/checkpoint;antifolate/nucleotide,1,-9.0,-17.694915254237287
dexrazoxane,antifolate/nucleotide,2,-27.75,-29.120835768556397
dexrazoxane,microtubule/tubulin,4,-15.0,-8.838983050847457
dexrazoxane,topoisomerase/DNA_damage,2,10.5,18.045258620689655
dexrazoxane;celecoxib,,1,-14.0,-13.271186440677965
