analysis_group,drug_key,name,moa,target,support_term_found,matched_support_terms
strict repair/protective,BRD-K07359318-001-03-9,benfotiamine,antioxidant,AGER,True,antioxidant;benfotiamine
strict repair/protective,BRD-K47114202-001-14-6,chlorogenic-acid,antioxidant,SLC37A4,True,antioxidant;chlorogenic
strict repair/protective,BRD-K49954789-001-02-9,mesna,antioxidant,,True,antioxidant;mesna
strict repair/protective,BRD-K20482099-001-09-4,rutin,"antioxidant, capillary stabilizing agent, nitric oxide scavenger",AKR1C3,True,antioxidant
strict repair/protective,BRD-K51474575-001-10-4,taurine,antioxidant,,True,antioxidant;taurine
strict repair/protective,BRD-A17846016-001-13-9,trolox,antioxidant,,True,antioxidant;trolox
broad repair/protective,BRD-K04430056-236-02-1,7-nitroindazole,nitric oxide synthase inhibitor,"NOS1, NOS2, NOS3",True,nitric oxide;nos
broad repair/protective,BRD-K55462201-001-07-3,AM-404,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist","CNR1, CNR2, FAAH, TRPV1",True,cyclooxygenase;trpv;faah
broad repair/protective,BRD-K15025317-001-15-1,BAY-11-7082,NFkB pathway inhibitor,RELA,True,nf.?kb
broad repair/protective,BRD-K48684885-001-04-2,BAY-11-7085,NFkB pathway inhibitor,NFKBIA,True,nf.?kb
broad repair/protective,BRD-K13566078-001-02-3,BMS-345541,IKK inhibitor,"CHUK, IKBKB",True,\bikk\b
broad repair/protective,BRD-K68395654-001-03-1,EVP4593,NFkB pathway inhibitor,,True,nf.?kb
broad repair/protective,BRD-K38350380-001-01-8,FK-3311,cyclooxygenase inhibitor,PTGS2,True,cyclooxygenase
broad repair/protective,BRD-K30990140-003-02-4,FR-122047,cyclooxygenase inhibitor,,True,cyclooxygenase
broad repair/protective,BRD-K04923131-001-15-4,GSK-3-inhibitor-IX,"glycogen synthase kinase inhibitor, lipoxygenase inhibitor","GSK3A, GSK3B",True,lipoxygenase
broad repair/protective,BRD-K14880289-001-02-2,GW-501516,PPAR receptor agonist,"PPARA, PPARD",True,ppar
broad repair/protective,BRD-K14618467-001-04-6,IKK-16,IKK inhibitor,IKBKB,True,\bikk\b
broad repair/protective,BRD-K74305673-001-06-2,IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",IKBKB,True,nf.?kb;\bikk\b
broad repair/protective,BRD-A53134341-001-03-2,Ro-106-9920,NFkB pathway inhibitor,,True,nf.?kb
broad repair/protective,BRD-K48826825-001-01-8,S26948,PPAR receptor agonist,PPARG,True,ppar
broad repair/protective,BRD-K51575138-001-13-2,TPCA-1,IKK inhibitor,IKBKB,True,\bikk\b
broad repair/protective,BRD-K46585355-001-14-3,acetylsalicylsalicylic-acid,cyclooxygenase inhibitor,,True,cyclooxygenase
broad repair/protective,BRD-K82122102-323-01-1,amfenac,cyclooxygenase inhibitor,"PTGS1, PTGS2",True,cyclooxygenase
broad repair/protective,BRD-K11433652-001-17-0,aspirin,cyclooxygenase inhibitor,"AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53",True,cyclooxygenase;nf.?kb
broad repair/protective,BRD-K36269323-300-02-6,asymmetrical-dimethylarginine,nitric oxide synthase inhibitor,"NOS2, NOS3",True,nitric oxide;nos
broad repair/protective,BRD-K72327355-001-14-7,baicalein,lipoxygenase inhibitor,"ALOX5, GLO1, PREP, SELL, SELP, TNF, XDH",True,lipoxygenase;tnf
broad repair/protective,BRD-K97810537-001-13-6,beclomethasone-dipropionate,glucocorticoid receptor agonist,"GPR97, NR3C1",True,glucocorticoid
broad repair/protective,BRD-A02180903-001-04-5,betamethasone,glucocorticoid receptor agonist,NR3C1,True,glucocorticoid;corticosteroid
broad repair/protective,BRD-K58148589-001-03-6,betamethasone-dipropionate,anti-inflammatory agent,,True,anti.?inflamm;corticosteroid
broad repair/protective,BRD-K36467523-001-02-8,bindarit,NFkB pathway inhibitor,"CCL2, CCL7, CCL8",True,nf.?kb
