comparison,gene,axis_membership,n_pos,n_neg,median_dep_pos,median_dep_neg,delta,mw_auc,p,FDR_within_comparison
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KIF11,KIF11_control;microtubule_spindle,80,361,2.9087533696354333,2.875925418470119,0.0328279511653142,0.5242036011080332,0.4982490397744777,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,ATM,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,0.0902863642676637,-0.0022042826494901,0.0924906469171538,0.6342797783933518,0.000170237896481,0.0165130759586657
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,XIAP,apoptosis_MCL1_BCL,80,361,0.02119616767923,0.0032192314000211,0.017976936279209,0.5670706371191134,0.0604386765832897,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MCL1,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,0.617545114261019,0.5211564001823838,0.0963887140786351,0.5223337950138505,0.532043028573613,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,TUBA1B,microtubule_spindle,80,361,1.0653055621025251,0.9605797148368312,0.1047258472656939,0.584106648199446,0.018542150067103,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AKT1,AKT_PI3K_survival,80,361,0.0780820839164147,0.0386615468016271,0.0394205371147876,0.5677285318559557,0.0579598244733243,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AKT2,AKT_PI3K_survival,80,361,0.072060374814924,0.0573358203954084,0.0147245544195155,0.551073407202216,0.1528213331706613,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AKT3,AKT_PI3K_survival,80,361,-0.0830316294905855,-0.0934502985944048,0.0104186691038192,0.5363919667590027,0.3084226699597189,0.8354169228829426
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,ATIC,nucleotide_antifolate,80,361,0.2742176289058519,0.3091285855590914,-0.0349109566532394,0.4780470914127424,0.539066632740862,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,ATR,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,1.1278467685071991,1.1178551660229916,0.0099916024842074,0.5142313019390581,0.6906227661797038,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AURKA,mitotic_kinase_PLK_AUR,80,361,1.1789523718808357,1.18659613457297,-0.0076437626921344,0.4863919667590027,0.7035314471195353,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AURKB,mitotic_kinase_PLK_AUR,80,361,2.1793477137336525,2.1013079972795308,0.0780397164541217,0.5490304709141274,0.1699290609525584,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AURKC,mitotic_kinase_PLK_AUR,80,361,-0.012911141410903,-0.0091331242790048,-0.0037780171318982,0.5115650969529086,0.7464280113141439,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BAK1,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,0.3057622497212265,0.3607732075074363,-0.0550109577862097,0.4354570637119113,0.0707933330359655,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BAX,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,-0.0513192657091609,-0.0627257205513179,0.011406454842157,0.4980609418282548,0.9570854676756838,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BBC3,prior_p53_decision,80,361,0.0886209549745886,0.0953296674886337,-0.006708712514045,0.4778739612188366,0.5358683329798762,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BCL2,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,-0.0164307841431607,-0.0174489573917557,0.0010181732485949,0.5228531855955679,0.522540666268035,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BCL2L1,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,1.211998929464582,1.011870070398753,0.2001288590658287,0.5059210526315789,0.8686981453804835,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BCL2L11,apoptosis_MCL1_BCL,80,361,-0.0082989758616815,0.0011800101595033,-0.0094789860211848,0.4882271468144044,0.7420269535767597,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BIRC5,apoptosis_MCL1_BCL,80,361,1.994436677449988,1.9150404316933605,0.0793962457566277,0.5608725761772853,0.0883762221691899,0.5446238573836882
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BRCA1,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,0.525480144592448,0.5044002060245116,0.0210799385679363,0.5513157894736842,0.1508818248877419,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BRCA2,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,0.5517258227554931,0.506843643290462,0.044882179465031,0.5682825484764543,0.0559384508259354,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BUB1,microtubule_spindle,80,361,0.6484085725777542,0.6702029835085237,-0.0217944109307695,0.4854916897506924,0.6849140604762259,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BUB1B,microtubule_spindle,80,361,1.243559147033356,1.2253887581620984,0.0181703888712576,0.5048476454293629,0.8924098263452543,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CAD,nucleotide_antifolate,80,361,0.3281543710377042,0.3466147722259947,-0.0184604011882905,0.5172783933518005,0.6288596216456663,0.9677683110516548
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CASP3,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,-0.0781275493970875,-0.0692214591699536,-0.0089060902271339,0.4784972299168974,0.5474267305779942,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CASP8,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,-0.0465997662147016,-0.0695354087419547,0.022935642527253,0.5274238227146814,0.4428332066826707,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CCNB1,microtubule_spindle,80,361,0.7319047011038392,0.7194449697203323,0.0124597313835068,0.4950831024930748,0.8908769002369604,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CCNB2,microtubule_spindle,80,361,0.0246599363948821,0.0036958493609334,0.0209640870339487,0.5463296398891967,0.1946982813925426,0.6476616163225754
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CCND1,prior_cell_cycle_checkpoint,80,361,1.2705494939675144,1.3260937252740177,-0.0555442313065033,0.4639196675900278,0.3125857699203335,0.8354169228829426
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDC20,microtubule_spindle,80,361,2.0969579513882843,2.125345443044516,-0.0283874916562316,0.5005540166204986,0.9880095272605436,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDK1,microtubule_spindle;mitotic_kinase_PLK_AUR,80,361,2.6398795755231266,2.6724440654614288,-0.0325644899383021,0.506371191135734,0.8587883156573268,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDK4,prior_cell_cycle_checkpoint,80,361,0.5999163316607334,0.5845777919214796,0.0153385397392538,0.4802631578947368,0.5808303053093047,0.939008993583376
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDK6,prior_cell_cycle_checkpoint,80,361,0.5597819489041911,0.5272133019702517,0.0325686469339393,0.4744806094182825,0.4751708237986485,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDKN1A,prior_p53_decision,80,361,-0.1884251886318652,-0.207042682886302,0.0186174942544367,0.5432479224376731,0.2260821238570308,0.6853114379416249
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDKN2A,prior_cell_cycle_checkpoint,80,361,-0.1504806773132697,-0.1473975624898015,-0.0030831148234682,0.5035318559556786,0.921605348156219,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CENPE,microtubule_spindle,80,361,0.6823965549761464,0.6646699756800278,0.0177265792961185,0.5046052631578947,0.8977781971679968,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CHEK1,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,1.6602575216175848,1.7426566700312056,-0.0823991484136208,0.4733725761772853,0.4562006883449239,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CHEK2,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,-0.1900587388899636,-0.2149145783592192,0.0248558394692555,0.5513504155124654,0.1506062905129487,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,DCK,nucleotide_antifolate,80,361,-0.0076139104733623,0.0027653156263633,-0.0103792260997257,0.4971606648199446,0.9370165013058724,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,DHFR,nucleotide_antifolate,75,334,0.6645659470408487,0.7270606233916205,-0.0624946763507717,0.4674251497005988,0.3780511212209104,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,GART,nucleotide_antifolate,80,361,0.2610023811317036,0.2692591827819945,-0.0082568016502909,0.5110803324099722,0.7567291399229265,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,GCLC,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.0288210883120302,0.0103172252601718,0.0185038630518584,0.5311634349030471,0.3831365462015659,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,GPX4,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.4914917615879173,0.4764687447944229,0.0150230167934943,0.4984072022160665,0.9648122497696024,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSF1,HSP_proteostasis,80,361,0.4957280863484665,0.4929094964829019,0.0028185898655646,0.4958448753462604,0.9077602678026552,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSP90AA1,HSP_proteostasis,80,361,0.1691433573212214,0.1859178653902384,-0.0167745080690169,0.4769390581717451,0.5187642835518954,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSP90AB1,HSP_proteostasis,80,361,0.2205820732774905,0.1774829347147828,0.0430991385627077,0.5664127423822715,0.0630047662468357,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSPA5,HSP_proteostasis,80,361,1.1164682601304414,1.202182037881442,-0.0857137777510006,0.4613227146814403,0.2790174460570838,0.7960203608099156
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSPA8,HSP_proteostasis,80,361,0.4903308075168262,0.4930845007188782,-0.0027536932020519,0.5002770083102492,0.9941979910917492,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSPB1,HSP_proteostasis,80,361,-0.0476771296776619,-0.0245239104922307,-0.0231532191854312,0.4326869806094182,0.0595153803835444,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSPH1,HSP_proteostasis,80,361,0.0338224385973534,0.019454958764093,0.0143674798332604,0.5525623268698061,0.1412023486681333,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,IMPDH1,nucleotide_antifolate,80,361,0.2015576704749227,0.2110400644268908,-0.009482393951968,0.5003462603878116,0.9926508278656097,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,IMPDH2,nucleotide_antifolate,80,361,0.4795816369839613,0.4981926659913873,-0.0186110290074259,0.4460526315789473,0.13101503380635,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KEAP1,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.1205575809442331,0.1448128367911666,-0.0242552558469334,0.4465027700831024,0.1342614345020961,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KIF20A,microtubule_spindle,80,361,0.4533961823913814,0.4914979845543548,-0.0381018021629733,0.4511426592797783,0.1714423538900995,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KIF2C,microtubule_spindle,80,361,0.3012875834817448,0.3113462433692651,-0.0100586598875203,0.5006578947368422,0.9856890193021134,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KRAS,prior_oncogenic_context,80,361,0.490440476679046,0.5476513184941317,-0.0572108418150857,0.4357686980609419,0.0721651700622178,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MAD2L1,microtubule_spindle,80,361,1.3666322762222696,1.3459397691152355,0.020692507107034,0.5488573407202216,0.1714423538900995,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MDM2,prior_p53_decision,80,361,0.3790651633189579,0.4294117376814893,-0.0503465743625314,0.4238227146814404,0.032959385612618,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MDM4,prior_p53_decision,80,361,0.0533034272751556,0.0413240745759651,0.0119793526991905,0.493005540166205,0.8451039809805548,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MTOR,AKT_PI3K_survival,80,361,1.3288377454868558,1.2560580102201324,0.0727797352667234,0.5273891966759003,0.4434097048888137,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MYC,prior_oncogenic_context,80,361,2.0056317867162123,2.1328300621641545,-0.1271982754479421,0.4393351800554016,0.0894683982218923,0.5446238573836882
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MYCN,prior_oncogenic_context,80,361,0.0821775577158906,0.0902900097173743,-0.0081124520014836,0.5026315789473684,0.94164471784503,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,NFE2L2,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.2050109461627937,0.2341390027219615,-0.0291280565591678,0.4818559556786703,0.6117535937959215,0.9677683110516548
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,NQO1,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.0735541669862476,0.0722028418744673,0.0013513251117803,0.4826523545706371,0.6274836188189776,0.9677683110516548
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PARP1,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,0.1934397003180613,0.1869665514748268,0.0064731488432345,0.5304362880886426,0.3943414118435792,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PIK3CA,AKT_PI3K_survival;prior_oncogenic_context,80,361,0.5009994962452609,0.4442199686826139,0.0567795275626469,0.5344529085872576,0.334925015899148,0.8549401721636147
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PIK3CB,AKT_PI3K_survival,80,361,0.1109712893940351,0.0993703531601406,0.0116009362338945,0.5570290858725762,0.1103987699418321,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PIK3CD,AKT_PI3K_survival,80,361,0.1465232268611186,0.1538819059030211,-0.0073586790419024,0.5314058171745153,0.3794453612250963,0.9000066587468719
