comparison,axis,n_genes,genes,n_pos,n_neg,median_dep_pos,median_dep_neg,delta,mw_auc,p,FDR_within_comparison
RTR_high_removal_high_vs_other_all,KIF11_control,1,KIF11,93,376,2.843346250149636,2.8862254383787813,-0.04287918822914527,0.49282200869366277,0.8305085292814331,0.9499218515076479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KIF11_control,1,KIF11,80,361,2.9087533696354333,2.875925418470119,0.03282795116531423,0.5242036011080332,0.49824903977447776,0.8300228536830326
RTR_top20_vs_bottom20_all,KIF11_control,1,KIF11,95,92,2.796466573651979,2.918479055595232,-0.12201248194325309,0.45377574370709384,0.2755218605104073,0.3464800598134251
RTR_top20_vs_bottom20_no_Bone_SoftTissue,KIF11_control,1,KIF11,79,90,2.831737357933024,2.918479055595232,-0.08674169766220796,0.4648382559774965,0.431783333159381,0.49769593206749885
RTR_high_removal_high_vs_other_all,microtubule_spindle,17,TUBA1B;TUBA1A;TUBB;TUBB3;TUBB4B;KIF11;KIF2C;KIF20A;CENPE;BUB1;BUB1B;CDC20;MAD2L1;TTK;CDK1;CCNB1;CCNB2,93,376,1.0472046333129195,1.0309963785597294,0.0162082547531901,0.5342598947609243,0.30618958414419517,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,microtubule_spindle,17,TUBA1B;TUBA1A;TUBB;TUBB3;TUBB4B;KIF11;KIF2C;KIF20A;CENPE;BUB1;BUB1B;CDC20;MAD2L1;TTK;CDK1;CCNB1;CCNB2,80,361,1.0482149207105231,1.0304761405954093,0.017738780115113872,0.5386080332409973,0.2798795077893591,0.6397245892328208
RTR_top20_vs_bottom20_all,microtubule_spindle,17,TUBA1B;TUBA1A;TUBB;TUBB3;TUBB4B;KIF11;KIF2C;KIF20A;CENPE;BUB1;BUB1B;CDC20;MAD2L1;TTK;CDK1;CCNB1;CCNB2,95,92,1.0405106962592738,1.037488213433198,0.0030224828260758674,0.4637299771167048,0.3923728530196916,0.4185310432210044
RTR_top20_vs_bottom20_no_Bone_SoftTissue,microtubule_spindle,17,TUBA1B;TUBA1A;TUBB;TUBB3;TUBB4B;KIF11;KIF2C;KIF20A;CENPE;BUB1;BUB1B;CDC20;MAD2L1;TTK;CDK1;CCNB1;CCNB2,79,90,1.0406764461149665,1.037488213433198,0.003188232681768488,0.4651195499296765,0.4354839405590615,0.49769593206749885
RTR_high_removal_high_vs_other_all,mitotic_kinase_PLK_AUR,8,PLK1;PLK4;AURKA;AURKB;AURKC;TTK;WEE1;CDK1,93,376,1.6632864710339335,1.659910614571518,0.0033758564624155607,0.49694005948295583,0.9274901747265778,0.9499218515076479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,mitotic_kinase_PLK_AUR,8,PLK1;PLK4;AURKA;AURKB;AURKC;TTK;WEE1;CDK1,80,361,1.656416101944953,1.655072766192249,0.0013433357527039558,0.49470221606648196,0.8824532469211926,0.9412834633826055
RTR_top20_vs_bottom20_all,mitotic_kinase_PLK_AUR,8,PLK1;PLK4;AURKA;AURKB;AURKC;TTK;WEE1;CDK1,95,92,1.6693291184191916,1.6409048292174906,0.028424289201701036,0.5566361556064073,0.18143282998891197,0.3225472533136213
RTR_top20_vs_bottom20_no_Bone_SoftTissue,mitotic_kinase_PLK_AUR,8,PLK1;PLK4;AURKA;AURKB;AURKC;TTK;WEE1;CDK1,79,90,1.653761860057649,1.6378319372560843,0.015929922801564578,0.5413502109704641,0.355079205199456,0.47343894026594135
RTR_high_removal_high_vs_other_all,apoptosis_MCL1_BCL,10,MCL1;BCL2;BCL2L1;BCL2L11;BAX;BAK1;CASP3;CASP8;BIRC5;XIAP,93,376,0.39607317244782897,0.38521844883724915,0.01085472361057982,0.5300274536719286,0.3698332074788091,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,apoptosis_MCL1_BCL,10,MCL1;BCL2;BCL2L1;BCL2L11;BAX;BAK1;CASP3;CASP8;BIRC5;XIAP,80,361,0.39299116473281115,0.3847716827960975,0.008219481936713624,0.5343144044321331,0.3368726039582589,0.6737452079165178
RTR_top20_vs_bottom20_all,apoptosis_MCL1_BCL,10,MCL1;BCL2;BCL2L1;BCL2L11;BAX;BAK1;CASP3;CASP8;BIRC5;XIAP,95,92,0.40882925081850024,0.37564777300568675,0.0331814778128135,0.5684210526315789,0.10637402908396738,0.24314063790621115
RTR_top20_vs_bottom20_no_Bone_SoftTissue,apoptosis_MCL1_BCL,10,MCL1;BCL2;BCL2L1;BCL2L11;BAX;BAK1;CASP3;CASP8;BIRC5;XIAP,79,90,0.4047214252019916,0.37564777300568675,0.029073652196304867,0.5749648382559776,0.09337801366999157,0.21343545981712359
RTR_high_removal_high_vs_other_all,DDR_CHK_ATR,9,CHEK1;CHEK2;ATR;ATM;WEE1;PARP1;BRCA1;BRCA2;RAD51,93,376,0.8648095552818529,0.8566388242216829,0.008170731060169967,0.5229924502402196,0.4923464088000924,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,DDR_CHK_ATR,9,CHEK1;CHEK2;ATR;ATM;WEE1;PARP1;BRCA1;BRCA2;RAD51,80,361,0.8728829861470779,0.8541654710579325,0.01871751508914543,0.5490997229916897,0.16932655534901064,0.49643601982698043
RTR_top20_vs_bottom20_all,DDR_CHK_ATR,9,CHEK1;CHEK2;ATR;ATM;WEE1;PARP1;BRCA1;BRCA2;RAD51,95,92,0.8570299466511898,0.8539171845753422,0.0031127620758476526,0.5386727688787185,0.3617301139243677,0.4134058444849917
RTR_top20_vs_bottom20_no_Bone_SoftTissue,DDR_CHK_ATR,9,CHEK1;CHEK2;ATR;ATM;WEE1;PARP1;BRCA1;BRCA2;RAD51,79,90,0.8549605064703696,0.8526356695292936,0.0023248369410759917,0.5324894514767933,0.4676689755449852,0.49884690724798425
RTR_high_removal_high_vs_other_all,HSP_proteostasis,13,HSP90AA1;HSP90AB1;HSPA5;HSPA8;HSPB1;HSPH1;HSF1;PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,93,376,0.9661233477210465,0.9861030783002909,-0.019979730579244404,0.46325211622054446,0.27238326958843107,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSP_proteostasis,13,HSP90AA1;HSP90AB1;HSPA5;HSPA8;HSPB1;HSPH1;HSF1;PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,80,361,0.9633797497867564,0.9859895904715591,-0.02260984068480265,0.44695290858725756,0.13756969300637742,0.49643601982698043
RTR_top20_vs_bottom20_all,HSP_proteostasis,13,HSP90AA1;HSP90AB1;HSPA5;HSPA8;HSPB1;HSPH1;HSF1;PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,95,92,0.9661233477210465,1.0193787411413793,-0.05325539342033281,0.40389016018306634,0.023286699111287407,0.06209786429676642
