comparison,gene,axis,n,n_lineages,beta_group,se,t,p,beta_group_z,FDR_within_comparison
repair_high_removal_high_vs_others,KIF11,KIF11_spindle,469,22,-0.0026668848703366166,0.07474218865237166,-0.03568111823351045,0.9715525902794817,-0.0042503880522772874,0.9901343331321575
repair_high_removal_high_vs_others,PLK1,PLK_Aurora_mitotic,469,22,-0.1337593122513358,0.0649425443027098,-2.0596561728141984,0.0400112231465104,-0.2469332440394365,0.21339319011472213
repair_high_removal_high_vs_others,AURKA,PLK_Aurora_mitotic,469,22,-0.003852714404010915,0.033707518695401686,-0.1142983688246532,0.9090527109218367,-0.013525944031245185,0.9901343331321575
repair_high_removal_high_vs_others,AURKB,PLK_Aurora_mitotic,469,22,0.05407763271959809,0.04143491814795105,1.3051222287082573,0.19252415459713856,0.1542553914204583,0.44005521050774526
repair_high_removal_high_vs_others,CHEK1,CHK_DDR_checkpoint,469,22,-0.03218141076601655,0.045617464800554376,-0.7054625000910936,0.4808907443949737,-0.08474345191897514,0.699477446392689
repair_high_removal_high_vs_others,CHEK2,CHK_DDR_checkpoint,469,22,0.023967577158352293,0.020213609624505045,1.185714852694904,0.23636625201312045,0.13371222802961813,0.4727325040262409
repair_high_removal_high_vs_others,HSP90AA1,HSP_proteostasis,469,22,-0.026484914945392707,0.018988536753556048,-1.3947844054088467,0.1637751202006108,-0.16773517412949224,0.4367336538682955
repair_high_removal_high_vs_others,HSP90AB1,HSP_proteostasis,469,22,0.04255784447915051,0.026351782666028778,1.6149892027613626,0.10702020480902363,0.19383252550731456,0.3424646553888756
repair_high_removal_high_vs_others,BCL2L1,BCL_apoptosis,469,22,-0.0010339166994140503,0.0835688878025257,-0.012372028952415978,0.9901343331321575,-0.0014368239464692956,0.9901343331321575
repair_high_removal_high_vs_others,MCL1,BCL_apoptosis,469,22,-0.04956302606497753,0.05894299452376868,-0.8408637271557574,0.40087485877268536,-0.10018303319346256,0.6514286754003098
repair_high_removal_high_vs_others,BCL2,BCL_apoptosis,469,22,0.010623039521269445,0.012803214892897357,0.8297165680756187,0.40714292212519365,0.0948396999863581,0.6514286754003098
repair_high_removal_high_vs_others,TUBA1B,microtubule_spindle_support,469,22,0.11216948250335301,0.04064179496775369,2.7599539486961966,0.006019095061634561,0.31463999040200497,0.09630552098615297
repair_high_removal_high_vs_others,TUBB,microtubule_spindle_support,469,22,0.04730522354902211,0.08945955253669337,0.5287889577764103,0.5972149063630456,0.061472280265653545,0.7962865418173942
repair_high_removal_high_vs_others,KIFC1,microtubule_spindle_support,469,22,0.0027113267182439227,0.024240927334781028,0.11184913352525482,0.9109933486348223,0.013766421503390358,0.9901343331321575
repair_high_removal_high_vs_others,ATM,CHK_DDR_checkpoint,469,22,0.05309423364830879,0.022510971468925042,2.3585936182986145,0.018774825930923056,0.2690056666820168,0.15019860744738445
repair_high_removal_high_vs_others,XIAP,BCL_apoptosis,469,22,0.02609041992745864,0.014455366223817349,1.8048951180822264,0.07176542606988767,0.2175004687296811,0.2870617042795507
RTR_high_top20_vs_bottom20,KIF11,KIF11_spindle,129,20,-0.09317016156797187,0.12913820328280473,-0.7214763656261729,0.47217551836493543,-0.14587387224540227,0.6868007539853607
RTR_high_top20_vs_bottom20,PLK1,PLK_Aurora_mitotic,129,20,-0.1069854642496314,0.10333284779584533,-1.0353480672573987,0.30281909740388757,-0.20994618115487063,0.6435008309378858
RTR_high_top20_vs_bottom20,AURKA,PLK_Aurora_mitotic,129,20,-0.045544058686764324,0.051825365272089016,-0.8787986046533947,0.3814615116072855,-0.16011099732592288,0.6435008309378858
RTR_high_top20_vs_bottom20,AURKB,PLK_Aurora_mitotic,129,20,-0.0068167790364093706,0.07216525410355433,-0.09446068085103058,0.9249182462880507,-0.018473371981450493,0.9707688436289617
RTR_high_top20_vs_bottom20,CHEK1,CHK_DDR_checkpoint,129,20,-0.06595783087640777,0.0773959541825267,-0.852212904060284,0.39598180495441393,-0.17083960877675497,0.6435008309378858
RTR_high_top20_vs_bottom20,CHEK2,CHK_DDR_checkpoint,129,20,-0.012968887014842473,0.034554320667828015,-0.3753188245114952,0.7081594623374476,-0.0708128829990996,0.8715808767230124
RTR_high_top20_vs_bottom20,HSP90AA1,HSP_proteostasis,129,20,-0.04990297551909266,0.028263839921847167,-1.7656120207685948,0.0802870695703699,-0.35878176572456044,0.3089484666439013
RTR_high_top20_vs_bottom20,HSP90AB1,HSP_proteostasis,129,20,0.102065547714912,0.03923257615152989,2.6015509998807946,0.010581408235810441,0.5057161820477594,0.056434177257655684
RTR_high_top20_vs_bottom20,BCL2L1,BCL_apoptosis,129,20,-0.03214717788363647,0.14246277637892996,-0.22565317552235345,0.82189764340449,-0.04521504339488447,0.9393115924622742
RTR_high_top20_vs_bottom20,MCL1,BCL_apoptosis,129,20,0.0828693278214786,0.07405325699236946,1.1190504130023282,0.2656013638774959,0.2099681327585392,0.6435008309378858
RTR_high_top20_vs_bottom20,BCL2,BCL_apoptosis,129,20,0.0007446772697889542,0.02027488155647985,0.03672905647880125,0.9707688436289617,0.007026033477335658,0.9707688436289617
RTR_high_top20_vs_bottom20,TUBA1B,microtubule_spindle_support,129,20,0.11152613032368575,0.0665259539574582,1.6764303807654397,0.09654639582621916,0.30148529940889945,0.3089484666439013
RTR_high_top20_vs_bottom20,TUBB,microtubule_spindle_support,129,20,0.07747371736577868,0.145722923895329,0.5316508569470312,0.5960596991711837,0.10254462620270366,0.7947462655615783
RTR_high_top20_vs_bottom20,KIFC1,microtubule_spindle_support,129,20,-0.11354082055199663,0.04141393921741701,-2.741608808472052,0.007157460730828014,-0.5429848715974345,0.056434177257655684
RTR_high_top20_vs_bottom20,ATM,CHK_DDR_checkpoint,129,20,0.024715726280121947,0.029387363424138727,0.8410324506968357,0.40218801933617865,0.1489381557582441,0.6435008309378858
RTR_high_top20_vs_bottom20,XIAP,BCL_apoptosis,129,20,0.06484222922156732,0.022022496618138352,2.9443632275625564,0.003963138262363053,0.5738787991907293,0.056434177257655684
RTR_high_top20_vs_others,KIF11,KIF11_spindle,469,22,-0.14505776223127542,0.08742879814566545,-1.6591531086770075,0.09778792894718413,-0.23118800002783946,0.3921059394462105
RTR_high_top20_vs_others,PLK1,PLK_Aurora_mitotic,469,22,-0.0886207580141749,0.07644619442267236,-1.1592566338121315,0.24697186065717047,-0.16360289909800685,0.6836287745228459
RTR_high_top20_vs_others,AURKA,PLK_Aurora_mitotic,469,22,0.0145066539747013,0.03954502582689437,0.36683890505478944,0.713913163724071,0.050929336869138364,0.8786623553527028
RTR_high_top20_vs_others,AURKB,PLK_Aurora_mitotic,469,22,-0.029595690568250843,0.048689872944551384,-0.6078407845088192,0.5436024553291205,-0.08442112946467328,0.8786623553527028
RTR_high_top20_vs_others,CHEK1,CHK_DDR_checkpoint,469,22,-0.060776565808699556,0.05347731544683959,-1.1364924604174635,0.2563607904460672,-0.16004320071165734,0.6836287745228459
RTR_high_top20_vs_others,CHEK2,CHK_DDR_checkpoint,469,22,0.003699912084638768,0.02375416258201289,0.15575847272513038,0.8762938767498762,0.020641364168022758,0.9103312024560228
RTR_high_top20_vs_others,HSP90AA1,HSP_proteostasis,469,22,-0.011014619670353498,0.022322474758849783,-0.49343183447824185,0.6219503720296957,-0.06975816808119539,0.8786623553527028
RTR_high_top20_vs_others,HSP90AB1,HSP_proteostasis,469,22,0.09148659174918991,0.030705824888596026,2.979453966181105,0.0030453057888040203,0.4166817503525073,0.048724892620864324
RTR_high_top20_vs_others,BCL2L1,BCL_apoptosis,469,22,0.011049123774708902,0.09805341934331835,0.11268473704136889,0.9103312024560228,0.015354859473688393,0.9103312024560228
RTR_high_top20_vs_others,MCL1,BCL_apoptosis,469,22,-0.01669520478119968,0.06921051330405355,-0.2412235364857765,0.8094927274575014,-0.03374645148933819,0.9103312024560228
