broad_id,name,moa,target,axis_membership,n_datasets,n_positive_delta,n_FDR_lt_0_05,median_delta,median_mw_auc,min_FDR
BRD-K74057757-001-01-9,indibulin,tubulin polymerization inhibitor,,microtubule_tubulin,4,4,4,0.5029375808575001,0.6549478301322522,7.283449981367443e-05
BRD-K64120610-001-01-4,vinflunine,microtubule inhibitor,,microtubule_tubulin,4,4,4,0.547095576485,0.6535269028871391,4.1804237836806024e-05
BRD-K02407574-001-09-7,parbendazole,tubulin polymerization inhibitor,TUBB,microtubule_tubulin,4,4,4,0.6593991193474998,0.6525712208341596,3.9364151305053886e-05
BRD-K59753975-001-02-6,vindesine,tubulin polymerization inhibitor,"TUBB, TUBB1",microtubule_tubulin,4,4,4,0.58833287541175,0.6463197346453182,0.00014150640800153792
BRD-K86003836-001-10-5,flubendazole,tubulin polymerization inhibitor,TUBB,microtubule_tubulin,4,4,4,0.5459873041750001,0.6458529388779831,2.686816038666694e-05
BRD-K95142244-001-01-5,talazoparib,PARP inhibitor,PARP2,DDR_ATR_CHK_WEE_PARP,4,4,4,0.493467230091,0.6377678967129368,0.0004504000861182
BRD-K77987382-001-13-2,mebendazole,tubulin polymerization inhibitor,"TUBA1A, TUBB, TUBB4B",microtubule_tubulin,4,4,4,0.6016522707150003,0.6330003052561406,0.002178127428711026
BRD-K53665955-001-03-0,MK-5108,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",PLK_Aurora_mitotic_kinase,4,4,4,0.449530427095,0.6324961848595907,0.0007444691203372938
BRD-K42673188-001-01-1,verubulin,tubulin polymerization inhibitor,TUBB,microtubule_tubulin,4,4,4,0.53856810636775,0.6321030183727033,0.0003500442944511595
BRD-K68164687-001-01-6,epothilone-b,"microtubule stabilizing agent, tubulin polymerization inhibitor","TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA4A, TUBA8, TUBB, TUBB1, TUBB3, TUBB4A, TUBB4B",microtubule_tubulin,4,4,4,0.5931442643950001,0.631952005611035,8.650984692530595e-05
BRD-K54955827-001-02-2,niraparib,PARP inhibitor,PARP1,DDR_ATR_CHK_WEE_PARP,4,4,4,0.2761828426826499,0.6311078454293444,6.959376922741783e-05
BRD-K90382497-001-10-7,GW-843682X,PLK inhibitor,"PLK1, PLK3",PLK_Aurora_mitotic_kinase,4,4,4,0.5713975997799999,0.629801678756758,0.0004087125439017
BRD-K55187425-236-05-2,rigosertib,"cell cycle inhibitor, PLK inhibitor",PLK1,PLK_Aurora_mitotic_kinase,4,4,4,0.44944349589175026,0.6285899302718675,6.8619826058354074e-06
BRD-K42436189-001-01-2,AZ20,ATR kinase inhibitor,"ATR, MTOR",AKT_PI3K_mTOR_survival;DDR_ATR_CHK_WEE_PARP,4,4,4,0.3892029781799997,0.6243243243243244,0.0007334526828121826
BRD-K12251893-065-04-7,vincristine,tubulin polymerization inhibitor,"TUBA4A, TUBB",microtubule_tubulin,4,4,4,0.5983969541249999,0.6234685176836932,0.0017365574304554893
BRD-K20468903-001-01-6,BNC105,tubulin polymerization inhibitor,,microtubule_tubulin,4,4,4,0.4552773185775003,0.6222387566137566,0.00014150640800153792
BRD-K68747584-001-02-0,PF-03814735,Aurora kinase inhibitor,"AURKA, AURKB",PLK_Aurora_mitotic_kinase,4,4,4,0.48529199631599995,0.6205759053691207,0.0008919598086126
BRD-K87512222-019-01-7,taltobulin,tubulin polymerization inhibitor,,microtubule_tubulin,4,4,4,0.4020565913124998,0.6173946779862158,0.00014150640800153792
BRD-K08248804-001-01-8,LCL-161,XIAP inhibitor,"BIRC2, XIAP",apoptosis_IAP_BCL_MCL,4,4,4,0.4265897524944998,0.6157884642125286,0.0006950607374212
BRD-K02241333-001-02-7,CHIR-124,CHK inhibitor,CHEK1,DDR_ATR_CHK_WEE_PARP,4,4,4,0.5357473857749997,0.6151090997682578,0.0001699254979043
BRD-K29968218-001-03-2,KX2-391,"src inhibitor, tubulin polymerization inhibitor",SRC,microtubule_tubulin,4,4,4,0.3872622256075,0.6133203413668978,0.0021597887594636
BRD-K62008436-001-22-1,paclitaxel,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TLR4, TUBB, TUBB1",apoptosis_IAP_BCL_MCL;microtubule_tubulin,4,4,4,0.6038186533449998,0.6127812805747872,0.0013779421995202
BRD-K06858286-001-01-3,cabazitaxel,microtubule inhibitor,"TUBA4A, TUBB, TUBB1",microtubule_tubulin,4,4,4,0.45671283534999985,0.6126901268299265,0.000291300176199
BRD-K14109347-001-03-4,LY2603618,CHK inhibitor,CHEK1,DDR_ATR_CHK_WEE_PARP,4,4,4,0.4002015292289374,0.6117233635950109,0.0002246740051972
BRD-K44408410-001-17-6,2-methoxyestradiol,hypoxia inducible factor inhibitor,"COMT, CYP19A1, CYP1A1, CYP1B1, HIF1A, TUBB",microtubule_tubulin,4,4,4,0.2653160785117693,0.6110501962419683,0.0001458981045596
BRD-K59369769-001-20-3,tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor","AURKA, AURKB, AURKC, LCK",PLK_Aurora_mitotic_kinase,4,4,4,0.31694037970455,0.6055106127645913,0.0024552179500573
BRD-K75295174-001-05-0,alisertib,Aurora kinase inhibitor,AURKA,PLK_Aurora_mitotic_kinase,4,4,4,0.34660661724794994,0.6050644509035764,0.0011076420346506554
BRD-K01669786-001-02-2,triapine,ribonucleotide reductase inhibitor,"RRM1, RRM2",apoptosis_IAP_BCL_MCL,4,4,4,0.45438213382750003,0.6049568455818456,0.0063757974535124
BRD-K31928526-001-02-1,barasertib,Aurora kinase inhibitor,"AURKA, AURKB",PLK_Aurora_mitotic_kinase,4,4,4,0.23271684015788247,0.6010152569819645,0.0044129186914972
