axis,n_drugs,comparison,n_pos,n_neg,median_response_pos,median_response_neg,delta_sensitivity,mw_auc_sensitivity,p,FDR_within_comparison
AKT_PI3K_mTOR_survival,67,RTR_high_removal_high_vs_other_all,113,465,-0.7984032336015,-0.655280608306,0.14312262529550002,0.5617280426301265,0.0416775149564778,0.04763144566454606
AKT_PI3K_mTOR_survival,67,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,97,444,-0.817270052124,-0.6480368648685,0.16923318725549996,0.5734419986997307,0.02336069736428955,0.026697939844902343
AKT_PI3K_mTOR_survival,67,RTR_top20_vs_bottom20_all,116,116,-0.862475001309,-0.525052540611,0.33742246069799997,0.7023632580261594,1.0025424953617754e-07,1.336723327149034e-07
AKT_PI3K_mTOR_survival,67,RTR_top20_vs_bottom20_no_Bone_SoftTissue,96,114,-0.8763475353645,-0.525052540611,0.3512949947535,0.7014802631578947,5.023594296776991e-07,6.698125729035989e-07
DDR_ATR_CHK_WEE_PARP,30,RTR_high_removal_high_vs_other_all,113,465,-0.5728205161805,-0.361728644504,0.2110918716765,0.6612617756208964,1.0299290937187264e-07,8.239432749749811e-07
DDR_ATR_CHK_WEE_PARP,30,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,97,444,-0.5728205161805,-0.351629102102,0.22119141407850001,0.6710086375034828,1.28987119012278e-07,1.031896952098224e-06
DDR_ATR_CHK_WEE_PARP,30,RTR_top20_vs_bottom20_all,116,116,-0.69114322310625,-0.21963335672875,0.4715098663775,0.865487514863258,6.549221165213695e-22,2.619688466085478e-21
DDR_ATR_CHK_WEE_PARP,30,RTR_top20_vs_bottom20_no_Bone_SoftTissue,96,114,-0.65619894410925,-0.21963335672875,0.43656558738049994,0.8524305555555556,1.4779690316028952e-18,5.911876126411581e-18
HSP90_proteostasis,18,RTR_high_removal_high_vs_other_all,113,465,-2.7052967252749998,-2.474173475365,0.23112324990999955,0.5819012275192692,0.006883141002253674,0.01101302560360588
HSP90_proteostasis,18,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,97,444,-2.7052967252749998,-2.4717808616,0.23351586367499966,0.5784805423980681,0.015389933035991224,0.020519910714654966
HSP90_proteostasis,18,RTR_top20_vs_bottom20_all,116,116,-2.8327078999274997,-2.137990779855,0.6947171200724997,0.6762782401902497,3.491335878859992e-06,3.990098147268562e-06
HSP90_proteostasis,18,RTR_top20_vs_bottom20_no_Bone_SoftTissue,96,114,-2.8327078999274997,-2.1432474991049997,0.6894604008225,0.668859649122807,2.535825945305732e-05,2.898086794635122e-05
KIF11_kinesin,5,RTR_high_removal_high_vs_other_all,113,465,-2.12477570226,-1.88466322916,0.24011247309999995,0.5768959939099819,0.011172014922058122,0.014896019896077495
KIF11_kinesin,5,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,97,444,-2.1474193385450002,-1.857791630695,0.28962770785000025,0.5837512770502462,0.009714551109486822,0.015543281775178917
KIF11_kinesin,5,RTR_top20_vs_bottom20_all,116,116,-2.214413395725,-1.193308900405,1.02110449532,0.7922116527942925,1.453815056152638e-14,2.3261040898442207e-14
