axis,n_drugs,comparison,n_pos,n_neg,median_response_pos,median_response_neg,delta_sensitivity,mw_auc_sensitivity,p,FDR_within_comparison
AKT_PI3K_mTOR_survival,71,RTR_high_removal_high_vs_other_all,92,388,0.8064282800119356,0.8097432424496704,0.0033149624377348808,0.5380434782608696,0.25642756738073347,0.25642756738073347
AKT_PI3K_mTOR_survival,71,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,81,379,0.805910449330415,0.809787016459577,0.0038765671291619563,0.5479983061337503,0.17497887407920187,0.17497887407920187
AKT_PI3K_mTOR_survival,71,RTR_top20_vs_bottom20_all,85,90,0.7963269999310336,0.8156662533974117,0.019339253466378103,0.626797385620915,0.0037994166881996066,0.0037994166881996066
AKT_PI3K_mTOR_survival,71,RTR_top20_vs_bottom20_no_Bone_SoftTissue,73,89,0.792043370229742,0.816587619002628,0.024544248772885968,0.6392181006618439,0.002341948915461482,0.002341948915461482
DDR_ATR_CHK_WEE_PARP,34,RTR_high_removal_high_vs_other_all,92,388,0.8534332612733753,0.8694728797009279,0.016039618427552638,0.6377185118780816,3.967256662565682e-05,7.934513325131364e-05
DDR_ATR_CHK_WEE_PARP,34,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,81,379,0.8533988130399155,0.8697629219876079,0.016364108947692357,0.6418775855891072,6.0666801442528646e-05,0.00012133360288505729
DDR_ATR_CHK_WEE_PARP,34,RTR_top20_vs_bottom20_all,85,90,0.841674613932118,0.8841638276787158,0.042489213746597865,0.7611764705882355,2.4711706269954914e-09,3.294894169327322e-09
DDR_ATR_CHK_WEE_PARP,34,RTR_top20_vs_bottom20_no_Bone_SoftTissue,73,89,0.836810575268962,0.8844969422194525,0.047686366950490555,0.7778974911497615,1.232192516769943e-09,1.9715080268319087e-09
HSP90_proteostasis,19,RTR_high_removal_high_vs_other_all,92,388,0.6787302294324367,0.6989150369163004,0.020184807483863754,0.6329000448229494,7.321629435653909e-05,9.762172580871878e-05
HSP90_proteostasis,19,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,81,379,0.677978966470282,0.699076900119341,0.021097933649058986,0.6282615068894751,0.0002886307688420569,0.00038484102512274256
