axis,n_drugs,comparison,n_pos,n_neg,median_response_pos,median_response_neg,delta_sensitivity,mw_auc_sensitivity,p,FDR_within_comparison
AKT_PI3K_mTOR_survival,66,RTR_high_removal_high_vs_other_all,93,395,-1.55737027670525,-1.45353408482,0.10383619188524995,0.5600653327888934,0.07138433354464287,0.08158209547959185
AKT_PI3K_mTOR_survival,66,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,82,386,-1.6187397256,-1.453461017735,0.16527870786499999,0.5754454694806016,0.03182676319635849,0.03637344365298113
AKT_PI3K_mTOR_survival,66,RTR_top20_vs_bottom20_all,89,92,-1.62750958331,-1.4117126245086251,0.21579695880137484,0.6444797264289204,0.0007919971049045802,0.0009051395484623773
AKT_PI3K_mTOR_survival,66,RTR_top20_vs_bottom20_no_Bone_SoftTissue,77,91,-1.67310815456,-1.41100731604,0.2621008385199999,0.6636220921935208,0.00026419463063373744,0.0003019367207242714
DDR_ATR_CHK_WEE_PARP,29,RTR_high_removal_high_vs_other_all,93,395,-0.773705586588,-0.578097321735,0.1956082648530001,0.624418129848918,0.0001875756091987014,0.0003751512183974028
DDR_ATR_CHK_WEE_PARP,29,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,82,386,-0.756948580269,-0.5763692974704999,0.1805792827985001,0.6315240743081006,0.0001822231557005219,0.00048592841520139177
DDR_ATR_CHK_WEE_PARP,29,RTR_top20_vs_bottom20_all,89,92,-0.845861605571,-0.42840175060725,0.41745985496375,0.7813873961895457,6.291838675832574e-11,1.2583677351665147e-10
DDR_ATR_CHK_WEE_PARP,29,RTR_top20_vs_bottom20_no_Bone_SoftTissue,77,91,-0.845861605571,-0.425807217015,0.42005438855599997,0.780362494648209,4.0509020370142e-10,6.48144325922272e-10
HSP90_proteostasis,17,RTR_high_removal_high_vs_other_all,93,395,-3.48119989895,-3.1054579535349998,0.37574194541500017,0.6215598203348305,0.00026288649594390643,0.0004206183935102503
HSP90_proteostasis,17,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,82,386,-3.45221782968,-3.1052398046775,0.3469780250025001,0.6155377227347403,0.0010107184289516664,0.0016171494863226662
HSP90_proteostasis,17,RTR_top20_vs_bottom20_all,89,92,-3.72748797761,-2.722749777317,1.004738200293,0.7788226673180264,9.35373774437435e-11,1.4965980390998959e-10
HSP90_proteostasis,17,RTR_top20_vs_bottom20_no_Bone_SoftTissue,77,91,-3.7086360264450002,-2.726493837284,0.9821421891610003,0.766804623947481,2.687368320724452e-09,3.5831577609659362e-09
KIF11_kinesin,5,RTR_high_removal_high_vs_other_all,93,395,-2.846702506405,-2.09591773114,0.7507847752650001,0.6401524431740846,2.5809428887742798e-05,0.00010323771555097119
KIF11_kinesin,5,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,82,386,-2.88610431398,-2.09413887592,0.7919654380599996,0.6503538480980665,1.8830557781151712e-05,7.532223112460685e-05
KIF11_kinesin,5,RTR_top20_vs_bottom20_all,89,92,-3.0289084481,-1.3971345085000002,1.6317739396,0.850390815828041,3.9549448898064367e-16,1.5819779559225747e-15
KIF11_kinesin,5,RTR_top20_vs_bottom20_no_Bone_SoftTissue,77,91,-3.06394783101,-1.39180212486,1.67214570615,0.8578564292850005,1.4562362062876368e-15,5.824944825150547e-15
PLK_Aurora_mitotic_kinase,33,RTR_high_removal_high_vs_other_all,93,395,-1.69678644156,-1.38052519958,0.31626124197999994,0.6251259017285967,0.00017234914589962268,0.0003751512183974028
PLK_Aurora_mitotic_kinase,33,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,82,386,-1.68808437494,-1.3783433658325,0.30974100910750013,0.6210981928472133,0.0005694431341721884,0.0011388862683443769
PLK_Aurora_mitotic_kinase,33,RTR_top20_vs_bottom20_all,89,92,-1.83375097937,-1.116661539255,0.7170894401150001,0.8166829506595017,1.8847097480507574e-13,5.025892661468686e-13
PLK_Aurora_mitotic_kinase,33,RTR_top20_vs_bottom20_no_Bone_SoftTissue,77,91,-1.79046971586,-1.09547133914,0.6949983767200001,0.8136149564720994,2.675984874210288e-12,7.135959664560769e-12
apoptosis_IAP_BCL_MCL,25,RTR_high_removal_high_vs_other_all,93,395,-0.418513256786,-0.35360648585675003,0.06490677092924996,0.5778140737716075,0.019495290617988697,0.02599372082398493
apoptosis_IAP_BCL_MCL,25,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,82,386,-0.427101343181,-0.3498420813725,0.07725926180850001,0.5825856186023,0.01878480358530588,0.02504640478040784
apoptosis_IAP_BCL_MCL,25,RTR_top20_vs_bottom20_all,89,92,-0.483634347151,-0.2480543718455,0.2355799753055,0.7730825598436737,2.2435294078205917e-10,2.991372543760789e-10
apoptosis_IAP_BCL_MCL,25,RTR_top20_vs_bottom20_no_Bone_SoftTissue,77,91,-0.483634347151,-0.246770693751,0.2368636534,0.7822177822177822,3.1051279113153067e-10,6.210255822630613e-10
microtubule_tubulin,37,RTR_high_removal_high_vs_other_all,93,395,-3.22535939657,-2.54894285637,0.6764165402,0.6678099904723017,4.704032509869144e-07,3.7632260078953153e-06
microtubule_tubulin,37,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,82,386,-3.2400386958749996,-2.546416417065,0.6936222788099995,0.6710476431189183,1.1317396529084159e-06,9.053917223267327e-06
microtubule_tubulin,37,RTR_top20_vs_bottom20_all,89,92,-3.45452820459,-1.9744028173600001,1.4801253872299998,0.8799462628236443,1.0785155504226952e-18,8.628124403381562e-18
microtubule_tubulin,37,RTR_top20_vs_bottom20_no_Bone_SoftTissue,77,91,-3.45452820459,-1.96530571023,1.4892224943599999,0.8811188811188811,1.9043810711850903e-17,1.5235048569480723e-16
proteasome,8,RTR_high_removal_high_vs_other_all,93,395,-5.6023649589049995,-5.508210806919999,0.09415415198500021,0.5529603919967334,0.11190194609217353,0.11190194609217353
proteasome,8,RTR_high_removal_high_vs_other_no_Bone_SoftTissue,82,386,-5.59711803852,-5.508315851212499,0.08880218730750045,0.5538038670542146,0.1258429772803436,0.1258429772803436
proteasome,8,RTR_top20_vs_bottom20_all,89,92,-5.70553884347,-5.2954198078825,0.41011903558749996,0.6185881778212018,0.005887448776971435,0.005887448776971435
proteasome,8,RTR_top20_vs_bottom20_no_Bone_SoftTissue,77,91,-5.7233546269649995,-5.271346676785001,0.45200795017999873,0.6322249179392037,0.0032008491629462697,0.0032008491629462697
