drug1,drug2,repair_hit,removal_axis_hit,median_combo_score,mean_combo_score
Methotrexate,6-Thioguanine,,antifolate/nucleotide,-47.0,-47.67796610169491
Methotrexate,Actinomycin D,,antifolate/nucleotide,-46.0,-36.97872340425532
Methotrexate,Chlorambucil,,antifolate/nucleotide,-39.5,-46.464285714285715
Methotrexate,Melphalan,,antifolate/nucleotide,-49.0,-46.37931034482759
Methotrexate,Triethylenemelamine,,antifolate/nucleotide,-42.0,-43.228070175438596
Methotrexate,Altretamine,,antifolate/nucleotide,-30.0,-38.30508474576271
Methotrexate,Fluorouracil,,antifolate/nucleotide,-50.5,-51.206896551724135
Methotrexate,Mithramycin,,antifolate/nucleotide,-13.0,-14.368421052631579
Methotrexate,Hydroxyurea,,antifolate/nucleotide,6.0,-3.0545454545454547
Methotrexate,Uracil Mustard,,antifolate/nucleotide,0.0,0.3333333333333333
Methotrexate,Mitotane,,antifolate/nucleotide,-32.0,-42.88235294117647
Methotrexate,Dacarbazine,,antifolate/nucleotide,-56.0,-55.932203389830505
Methotrexate,Vinblastine,,microtubule/tubulin;antifolate/nucleotide,-17.5,-18.93103448275862
Methotrexate,Megestrol Acetate,,antifolate/nucleotide,-35.0,-42.79661016949152
Methotrexate,Lomustine,,antifolate/nucleotide,-32.0,-29.649122807017545
Methotrexate,Daunorubicin,,antifolate/nucleotide,-17.0,-16.551724137931036
Methotrexate,Azacitidine,,antifolate/nucleotide,-18.0,-12.830188679245284
Methotrexate,Teniposide,,antifolate/nucleotide,-23.0,-20.410714285714285
Methotrexate,Doxorubicin,,topoisomerase/DNA_damage;antifolate/nucleotide,-39.5,-42.48
Methotrexate,Bleomycin,,antifolate/nucleotide,-33.0,-36.771929824561404
Methotrexate,Paclitaxel,,microtubule/tubulin;antifolate/nucleotide,-17.5,-15.428571428571429
Methotrexate,Bendamustine,,antifolate/nucleotide,-38.0,-44.07692307692308
Methotrexate,Etoposide,,topoisomerase/DNA_damage;antifolate/nucleotide,-41.0,-40.8448275862069
Methotrexate,Dexrazoxane,dexrazoxane,antifolate/nucleotide,-23.5,-27.25862068965517
Methotrexate,Rapamycin,,antifolate/nucleotide,1.5,3.75
Methotrexate,Valrubicin,,antifolate/nucleotide,-24.0,-20.254901960784313
Methotrexate,Mitoxantrone,,antifolate/nucleotide,-26.5,-17.689655172413794
Methotrexate,Vinorelbine,,antifolate/nucleotide,-2.0,-4.3559322033898304
Methotrexate,Docetaxel,,microtubule/tubulin;antifolate/nucleotide,-4.0,-0.03508771929824561
Methotrexate,7-Ethyl-10-hydroxycamptothecin,,antifolate/nucleotide,-37.5,-40.80357142857143
Methotrexate,Pemetrexed,,antifolate/nucleotide,-16.0,-22.728813559322035
Methotrexate,Vorinostat,,antifolate/nucleotide,-20.0,-18.03448275862069
Methotrexate,Exemestane,,antifolate/nucleotide,2.0,6.915254237288136
Methotrexate,Gefitinib,,antifolate/nucleotide,-1.5,7.5
Methotrexate,Fulvestrant,,antifolate/nucleotide,-13.0,-21.78181818181818
Methotrexate,Anastrozole,,antifolate/nucleotide,-9.0,-7.2407407407407405
Methotrexate,Letrozole,,antifolate/nucleotide,58.0,90.25
Methotrexate,Zoledronate,,antifolate/nucleotide,-5.0,-3.526315789473684
Methotrexate,Dasatinib,,antifolate/nucleotide,-29.5,-30.20689655172414
Methotrexate,Everolimus,,antifolate/nucleotide,-38.5,-39.31481481481482
Methotrexate,Pazopanib,,antifolate/nucleotide,-24.5,-29.82758620689655
Methotrexate,Lapatinib,,antifolate/nucleotide,-36.0,-40.0
Methotrexate,Sorafenib,,antifolate/nucleotide,-40.0,-46.58181818181818
Methotrexate,Lenalidomide,,antifolate/nucleotide,-4.0,-4.47457627118644
Methotrexate,Raloxifene,,antifolate/nucleotide,-23.0,-31.203389830508474
Methotrexate,Abiraterone,,antifolate/nucleotide,-32.0,-37.25423728813559
Methotrexate,Sunitinib,,antifolate/nucleotide,-25.5,-31.79310344827586
Methotrexate,Vemurafenib,,antifolate/nucleotide,-33.0,-33.23728813559322
Methotrexate,Depsipeptide,,antifolate/nucleotide,-41.0,-40.867924528301884
Methotrexate,Pralatrexate,,CHK/DDR/checkpoint;antifolate/nucleotide,16.0,21.964285714285715
Methotrexate,Vismodegib,,antifolate/nucleotide,-18.0,-21.576271186440678
Methotrexate,Crizotinib,,antifolate/nucleotide,-48.0,-47.05084745762712
Methotrexate,Axitinib,,antifolate/nucleotide,-35.5,-40.91379310344828
Methotrexate,Vandetanib,,antifolate/nucleotide,-35.0,-42.644067796610166
Methotrexate,Cabazitaxel,,antifolate/nucleotide,-38.0,-43.63793103448276
Methotrexate,Ruxolitinib,,antifolate/nucleotide,-39.0,-44.932203389830505
Busulfan,Methotrexate,,antifolate/nucleotide,-27.0,-34.41818181818182
Busulfan,Vinblastine,,microtubule/tubulin,-18.5,-19.962962962962962
Busulfan,Vincristine,,microtubule/tubulin,-27.0,-28.964912280701753
Busulfan,Doxorubicin,,topoisomerase/DNA_damage,-21.0,-13.140350877192983
Busulfan,Paclitaxel,,microtubule/tubulin,-49.0,-55.58
Busulfan,Etoposide,,topoisomerase/DNA_damage,-9.0,-15.40677966101695
Busulfan,Dexrazoxane,dexrazoxane,,-12.0,-9.40677966101695
Busulfan,Docetaxel,,microtubule/tubulin,-37.0,-37.528301886792455
Busulfan,Pemetrexed,,antifolate/nucleotide,-23.0,-19.80701754385965
Busulfan,Celecoxib,celecoxib,,-33.0,-35.86440677966102
Busulfan,Pralatrexate,,CHK/DDR/checkpoint;antifolate/nucleotide,-25.0,-24.833333333333332
6-Thioguanine,Doxorubicin,,topoisomerase/DNA_damage,-6.0,-3.508771929824561
6-Thioguanine,Etoposide,,topoisomerase/DNA_damage,-27.0,-24.71186440677966
6-Thioguanine,Dexrazoxane,dexrazoxane,,-28.5,-22.75862068965517
6-Thioguanine,Pemetrexed,,antifolate/nucleotide,-41.5,-39.60344827586207
6-Mercaptopurine,Methotrexate,,antifolate/nucleotide,-20.0,-18.94736842105263
6-Mercaptopurine,Vinblastine,,microtubule/tubulin,-15.0,-23.224137931034484
6-Mercaptopurine,Vincristine,,microtubule/tubulin,-18.0,-12.983050847457626
6-Mercaptopurine,Doxorubicin,,topoisomerase/DNA_damage,-8.0,-3.9661016949152543
6-Mercaptopurine,Paclitaxel,,microtubule/tubulin,-65.0,-66.96551724137932
