group,within_group_rank_after_Bone_SoftTissue_exclusion,depmap_id,cell_line,lineage,Sex,RTR_score_combined_rank_0_1,XIAP_gene_effect,XIAP_dependency_score
top,1,ACH-000389,H4_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.9946330738177624,-0.09014370782202971,0.09014370782202971
top,2,ACH-000446,KPNSI9S_AUTONOMIC_GANGLIA,Peripheral Nervous System,Male,0.9775086505190312,0.0004785968575807195,-0.0004785968575807195
top,3,ACH-000013,ONCODG1_OVARY,Ovary/Fallopian Tube,Female,0.9767661476355248,-0.021132771388991223,0.021132771388991223
top,4,ACH-001078_FAILED_STR,,,Unknown,0.9757785467128028,,
top,5,ACH-000925_FAILED_STR,,,Unknown,0.967128027681661,,
top,6,ACH-000163,SW579_THYROID,Head and Neck,Male,0.9601535467128028,0.19180525075889499,-0.19180525075889499
top,7,ACH-000200,NMCG1_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Female,0.9567474048442908,-0.11441676531855302,0.11441676531855302
top,8,ACH-000879,MFE296_ENDOMETRIUM,Uterus,Female,0.9555795847750864,-0.19862474359789742,0.19862474359789742
top,9,ACH-000400,SKCO1_LARGE_INTESTINE,Bowel,Male,0.9480968858131488,,
top,10,ACH-000913,ESS1_ENDOMETRIUM,Uterus,Female,0.9468425605536333,0.1064460264827268,-0.1064460264827268
top,11,ACH-000430,TYKNU_OVARY,Ovary/Fallopian Tube,Female,0.9463667820069204,-0.12100511329123168,0.12100511329123168
top,12,ACH-000866,NCIH1048_LUNG,Lung,Female,0.9405384948096888,-0.10705604954257361,0.10705604954257361
top,13,ACH-000269,AM38_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.9394463667820068,-0.07433528339700231,0.07433528339700231
top,14,ACH-000905,5637_URINARY_TRACT,Bladder/Urinary Tract,Male,0.9360726643598616,0.12208911513464854,-0.12208911513464854
top,15,ACH-000897,FTC238_THYROID,Thyroid,Male,0.9345912629757784,,
top,16,ACH-000834,UMUC1_URINARY_TRACT,Bladder/Urinary Tract,Male,0.928993656286044,-0.1668390471931141,0.1668390471931141
top,17,ACH-000475,HUH1_LIVER,Liver,Male,0.9238754325259516,-0.02322612344285345,0.02322612344285345
top,18,ACH-000460_FAILED_STR,,,Unknown,0.9204152249134948,,
top,19,ACH-000496,NCIH1792_LUNG,Lung,Male,0.918468858131488,-0.012391136875433417,0.012391136875433417
top,20,ACH-000669,SW900_LUNG,Lung,Male,0.9156826701268744,,
top,21,ACH-000213,HUPT4_PANCREAS,Pancreas,Male,0.9048442906574394,0.09230791920934461,-0.09230791920934461
top,22,ACH-000010_FAILED_STR,,,Unknown,0.903114186851211,,
top,23,ACH-000078,MHHNB11_AUTONOMIC_GANGLIA,Peripheral Nervous System,Male,0.8979238754325259,0.04746513839572981,-0.04746513839572981
top,24,ACH-001210,TTC1240_SOFT_TISSUE,Kidney,Female,0.8961937716262975,,
top,25,ACH-000147,T47D_BREAST,Breast,Female,0.8953251153402537,-0.02057768095052826,0.02057768095052826
top,26,ACH-000848,JHH7_LIVER,Liver,Male,0.8935085063437139,-0.13636840893723307,0.13636840893723307
top,27,ACH-000139,PANC0327_PANCREAS,Pancreas,Female,0.8910863610149942,-0.25758373743303237,0.25758373743303237
top,28,ACH-000794,BICR22_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.889273356401384,-0.2055125905508079,0.2055125905508079
top,29,ACH-000573,MDAMB436_BREAST,Breast,Female,0.8882641291810842,-0.09086370837455121,0.09086370837455121
top,30,ACH-000518,CAL33_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.8875432525951558,-0.12800972726698678,0.12800972726698678
