drug_key,name,moa,target,n_cell_lines_total,annotation_text,analysis_group,strict_repair,broad_repair,cytotoxic,source_dataset,is_definition_compound
BRD-K04430056-236-02-1,7-nitroindazole,nitric oxide synthase inhibitor,"NOS1, NOS2, NOS3",413,"7-nitroindazole | nitric oxide synthase inhibitor | nos1, nos2, nos3 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K55462201-001-07-3,AM-404,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist","CNR1, CNR2, FAAH, TRPV1",250,"am-404 | cyclooxygenase inhibitor, faah inhibitor, trpv antagonist | cnr1, cnr2, faah, trpv1 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K15025317-001-15-1,BAY-11-7082,NFkB pathway inhibitor,RELA,443,bay-11-7082 | nfkb pathway inhibitor | rela |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K48684885-001-04-2,BAY-11-7085,NFkB pathway inhibitor,NFKBIA,457,bay-11-7085 | nfkb pathway inhibitor | nfkbia |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K13566078-001-02-3,BMS-345541,IKK inhibitor,"CHUK, IKBKB",456,"bms-345541 | ikk inhibitor | chuk, ikbkb |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K68395654-001-03-1,EVP4593,NFkB pathway inhibitor,,465,evp4593 | nfkb pathway inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K38350380-001-01-8,FK-3311,cyclooxygenase inhibitor,PTGS2,460,fk-3311 | cyclooxygenase inhibitor | ptgs2 |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K30990140-003-02-4,FR-122047,cyclooxygenase inhibitor,,403,fr-122047 | cyclooxygenase inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K04923131-001-15-4,GSK-3-inhibitor-IX,"glycogen synthase kinase inhibitor, lipoxygenase inhibitor","GSK3A, GSK3B",449,"gsk-3-inhibitor-ix | glycogen synthase kinase inhibitor, lipoxygenase inhibitor | gsk3a, gsk3b |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K14880289-001-02-2,GW-501516,PPAR receptor agonist,"PPARA, PPARD",282,"gw-501516 | ppar receptor agonist | ppara, ppard |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K14618467-001-04-6,IKK-16,IKK inhibitor,IKBKB,462,ikk-16 | ikk inhibitor | ikbkb |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K74305673-001-06-2,IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",IKBKB,475,"ikk-2-inhibitor-v | ikk inhibitor, nfkb pathway inhibitor | ikbkb |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A53134341-001-03-2,Ro-106-9920,NFkB pathway inhibitor,,468,ro-106-9920 | nfkb pathway inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K48826825-001-01-8,S26948,PPAR receptor agonist,PPARG,410,s26948 | ppar receptor agonist | pparg |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K51575138-001-13-2,TPCA-1,IKK inhibitor,IKBKB,463,tpca-1 | ikk inhibitor | ikbkb |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K46585355-001-14-3,acetylsalicylsalicylic-acid,cyclooxygenase inhibitor,,441,acetylsalicylsalicylic-acid | cyclooxygenase inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K82122102-323-01-1,amfenac,cyclooxygenase inhibitor,"PTGS1, PTGS2",452,"amfenac | cyclooxygenase inhibitor | ptgs1, ptgs2 | neurology/psychiatry | pain relief",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K11433652-001-17-0,aspirin,cyclooxygenase inhibitor,"AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53",412,"aspirin | cyclooxygenase inhibitor | akr1c1, asic3, ednra, hspa5, ikbkb, nfkb1, nfkb2, nfkbia, prkaa1, prkaa2, prkab1, prkab2, prkag1, prkag2, prkag3, ptgs1, ptgs2, rps6ka3, tp53 | neurology/psychiatry, endocrinology, dental | headache, fever, toothache, muscle pain",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K36269323-300-02-6,asymmetrical-dimethylarginine,nitric oxide synthase inhibitor,"NOS2, NOS3",446,"asymmetrical-dimethylarginine | nitric oxide synthase inhibitor | nos2, nos3 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K72327355-001-14-7,baicalein,lipoxygenase inhibitor,"ALOX5, GLO1, PREP, SELL, SELP, TNF, XDH",441,"baicalein | lipoxygenase inhibitor | alox5, glo1, prep, sell, selp, tnf, xdh |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K97810537-001-13-6,beclomethasone-dipropionate,glucocorticoid receptor agonist,"GPR97, NR3C1",404,"beclomethasone-dipropionate | glucocorticoid receptor agonist | gpr97, nr3c1 | allergy | allergic rhinitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A02180903-001-04-5,betamethasone,glucocorticoid receptor agonist,NR3C1,402,betamethasone | glucocorticoid receptor agonist | nr3c1 | dermatology | corticosteroid-responsive dermatoses,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K58148589-001-03-6,betamethasone-dipropionate,anti-inflammatory agent,,452,betamethasone-dipropionate | anti-inflammatory agent |  | dermatology | corticosteroid-responsive dermatoses,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K36467523-001-02-8,bindarit,NFkB pathway inhibitor,"CCL2, CCL7, CCL8",402,"bindarit | nfkb pathway inhibitor | ccl2, ccl7, ccl8 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K09900591-001-26-7,caffeic-acid,"HIV integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor","ALOX5, MIF",433,"caffeic-acid | hiv integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor | alox5, mif |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K35245662-001-01-2,ciclesonide,glucocorticoid receptor agonist,"NR3C1, SERPINA6",407,"ciclesonide | glucocorticoid receptor agonist | nr3c1, serpina6 | allergy | allergic rhinitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A49358627-001-14-6,ciprofibrate,PPAR receptor agonist,PPARA,410,ciprofibrate | ppar receptor agonist | ppara | endocrinology | hyperlipidemia,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K10799896-001-26-2,clobetasol-propionate,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",424,"clobetasol-propionate | glucocorticoid receptor agonist | nr3c1, pla2g1b | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K38003476-001-09-1,clocortolone-pivalate,steroid,"NR3C1, PLA2G1B",236,"clocortolone-pivalate | steroid | nr3c1, pla2g1b | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K45252063-001-13-6,clofibrate,PPAR receptor agonist,"LPL, PPARA",351,"clofibrate | ppar receptor agonist | lpl, ppara | endocrinology, cardiology | hyperlipidemia, cholesterol",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
