drug_key,name,moa,target,eqcl_group,strict_repair,broad_repair,cytotoxic,n_cell_lines,median_logfc,mean_logfc,frac_logfc_ge0,frac_logfc_lt_minus1,frac_logfc_lt_minus05,primary_survival_preservation_score
BRD-A00055058-001-01-0,RS-0481,immunostimulant,,other,False,False,False,548,-0.02284724182585,-0.016325799252893756,0.4762773722627737,0.0,0.05474452554744526,0.21529144430553687
BRD-A00077618-236-07-6,8-bromo-cGMP,PKA activator,PRKG1,other,False,False,False,569,0.0025172763991,-0.006395112519091984,0.5008787346221442,0.026362038664323375,0.13005272407732865,0.23318511471192954
BRD-A00100033-001-08-9,nifurtimox,DNA inhibitor,,cytotoxic/removal-like,False,False,True,574,-0.1961874084565,-0.20687275735939556,0.289198606271777,0.029616724738675958,0.1986062717770035,-0.07380064887461847
BRD-A00147595-001-01-5,balaglitazone,"insulin sensitizer, PPAR receptor partial agonist",PPARG,other,False,False,False,569,0.074185973025,0.057743697233051644,0.5869947275922671,0.019332161687170474,0.0843585237258348,0.35318421555575574
BRD-A00218260-001-03-4,flutrimazole,sterol demethylase inhibitor,,other,False,False,False,565,0.253638188259,0.2438703687487843,0.7716814159292036,0.0035398230088495575,0.024778761061946902,0.6368240289669646
BRD-A00376169-001-01-6,KBG,neprilysin inhibitor,MME,other,False,False,False,565,-0.16485589023,-0.16898791074221547,0.3008849557522124,0.01415929203539823,0.168141592920354,-0.025032881380442462
BRD-A00520476-001-07-4,otenzepad,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",other,False,False,False,569,0.248474830574,0.2509227149234623,0.789103690685413,0.0017574692442882249,0.022847100175746926,0.6417085739834903
BRD-A00546892-001-02-6,biperiden,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2",other,False,False,False,569,0.155635619279,0.15825099707328386,0.6889279437609842,0.0,0.033391915641476276,0.5000995911594921
BRD-A00578795-001-04-3,zaltoprofen,cyclooxygenase inhibitor,,broad repair/protective,False,True,False,574,-0.39059649106000005,-0.364404820744771,0.2229965156794425,0.09059233449477352,0.4094076655052265,-0.34704248409135896
BRD-A00758722-001-04-9,noretynodrel,progestogen hormone,PGR,other,False,False,False,550,-0.8746968187535,-0.9122599055448747,0.03636363636363636,0.38727272727272727,0.7836363636363637,-1.1469695460262272
BRD-A00827783-001-24-6,dyphylline,"adenosine receptor antagonist, phosphodiesterase inhibitor","ADORA1, ADORA2A, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B",other,False,False,False,569,0.224841851051,0.22727945257035365,0.7803163444639719,0.0,0.014059753954305799,0.615000023282986
BRD-A00842753-001-01-9,oleuropein,estrogen receptor agonist,GPER1,other,False,False,False,547,0.0904724156186,0.07841967043102845,0.623400365630713,0.0018281535648994515,0.038391224862888484,0.40080148326028187
BRD-A00993607-003-24-6,alprenolol,adrenergic receptor antagonist,"ADRB1, ADRB2, HTR1A",other,False,False,False,574,0.16076552444449999,0.17145598436905776,0.681184668989547,0.003484320557491289,0.029616724738675958,0.4987446185211551
BRD-A01098288-001-02-9,azelnidipine,calcium channel blocker,CACNA1C,other,False,False,False,557,0.0523827508373,0.054012144094555334,0.5619389587073609,0.008976660682226212,0.0718132854578097,0.32661973467931077
BRD-A01412266-001-01-0,hydroxypropyl-beta-cyclodextrin,,,other,False,False,False,563,0.013493850665,-0.006528265299971614,0.5186500888099467,0.010657193605683837,0.09769094138543517,0.2648259998657104
BRD-A01493904-003-12-1,WB-4101,adrenergic receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1A",other,False,False,False,571,-0.227946498653,-0.24235943718815892,0.2469352014010508,0.03152364273204904,0.2434325744308231,-0.1281216300015114
BRD-A01563671-001-02-7,cleviprex,calcium channel blocker,"CACNA1C, CACNA1D, CACNA1F, CACNA1S",other,False,False,False,565,0.264982271197,0.2760441303357782,0.784070796460177,0.0017699115044247787,0.03008849557522124,0.65569023579877
BRD-A01593789-001-03-1,chlormadinone-acetate,5 alpha reductase inhibitor,PGR,other,False,False,False,570,-0.0876471339288,-0.09532584716219211,0.39649122807017545,0.017543859649122806,0.15263157894736842,0.09744058536944562
BRD-A01636364-003-15-1,bupivacaine,sodium channel blocker,"KCNA5, PTGER1, SCN10A, SCN4A",other,False,False,False,569,0.142627393377,0.15548791670209908,0.6731107205623902,0.0017574692442882249,0.03163444639718805,0.4778646517249789
BRD-A01643550-001-04-9,prednisolone-acetate,glucocorticoid receptor agonist,NR3C1,broad repair/protective,False,True,False,550,-0.41012287889300003,-0.45800041726673324,0.28909090909090907,0.21272727272727274,0.43454545454545457,-0.42512287889300004
BRD-A01787639-003-16-9,naftopidil,adrenergic receptor antagonist,ADRA1A,other,False,False,False,565,0.0149014699339,0.024940957165399433,0.5150442477876106,0.005309734513274336,0.08672566371681416,0.26844129294274954
BRD-A01907367-001-01-7,FK-33-824,opioid receptor agonist,OPRM1,other,False,False,False,569,-0.152520586103,-0.15597844512359196,0.28471001757469244,0.007029876977152899,0.12478031634446397,-0.015437985048518465
BRD-A02006392-001-16-4,nitrendipine,calcium channel blocker,"CACNA1C, CACNA1D, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2, CACNG1, KCNN4",other,False,False,False,574,-0.10165397333199999,-0.0971977137547234,0.3710801393728223,0.005226480836236934,0.12369337979094076,0.07996623572723346
BRD-A02180903-001-04-5,betamethasone,glucocorticoid receptor agonist,NR3C1,broad repair/protective,False,True,False,569,0.269890007312,0.26971845292454644,0.7328646748681898,0.014059753954305799,0.043936731107205626,0.6257775292803656
BRD-A02232681-001-01-8,isoleucine,,"ACADSB, BCAT1, BCAT2, IARS, IARS2",other,False,False,False,548,-0.0369882850964,-0.036753477583793666,0.4416058394160584,0.0036496350364963502,0.06204379562043796,0.18107740833425692
BRD-A02710418-003-11-8,meptazinol,opioid receptor agonist,BCHE,other,False,False,False,565,-0.278100325986,-0.2743499163924059,0.20353982300884957,0.019469026548672566,0.2424778761061947,-0.19093218439307963
BRD-A02743701-001-03-6,cilnidipine,calcium channel blocker,CACNA1B,other,False,False,False,570,-0.0251279503235,-0.039909735418608046,0.46842105263157896,0.007017543859649123,0.08771929824561403,0.20381941809755263
BRD-A02759312-003-24-5,betaxolol,adrenergic receptor antagonist,"ADRB1, ADRB2",other,False,False,False,571,0.257460828247,0.25278232838725456,0.8038528896672504,0.0070052539404553416,0.021015761821366025,0.6541333326252836
BRD-A02990301-003-06-6,lofexidine,adrenergic receptor agonist,ADRA2A,other,False,False,False,569,-0.48134392218,-0.4837230516334061,0.06502636203866433,0.05799648506151142,0.48154657293497366,-0.4923281049568014
BRD-A03061970-003-07-3,alizapride,dopamine receptor antagonist,DRD2,other,False,False,False,569,-0.0310912343392,-0.02883570281415773,0.45694200351493847,0.008787346221441126,0.08260105448154657,0.19078925775218838
BRD-A03216249-003-24-3,mepivacaine,"potassium channel blocker, sodium channel blocker",SCN10A,other,False,False,False,567,-0.436920862947,-0.4195807579680546,0.25396825396825395,0.1746031746031746,0.4638447971781305,-0.44088911691525395
BRD-A03359064-001-02-3,ICI-89406,adrenergic receptor antagonist,"ADRB1, ADRB2",other,False,False,False,565,0.244052962577,0.2390703979292997,0.7663716814159292,0.0,0.023008849557522124,0.6272388032849645
BRD-A03506276-001-01-5,XL888,HSP inhibitor,,other,False,False,False,569,-3.82877208739,-3.7713610618949103,0.0017574692442882249,0.9824253075571178,0.9947275922671354,-4.564712333435694
BRD-A03623303-045-09-5,metoprolol,adrenergic receptor antagonist,"ADRB1, ADRB2",other,False,False,False,569,-0.900438974904,-0.8825830466522816,0.029876977152899824,0.39191564147627417,0.8312829525483304,-1.1794372174347558
BRD-A03880619-001-01-0,bismuth-subcitrate-potassium,,,other,False,False,False,536,0.159279350644,0.13222448918768132,0.6380597014925373,0.0037313432835820895,0.06902985074626866,0.4755106939275821
BRD-A03932035-004-04-3,methscopolamine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3",other,False,False,False,550,-0.1908002850895,-0.22805995807133508,0.3509090909090909,0.07818181818181819,0.27090909090909093,-0.0739821032713182
BRD-A04203391-001-08-3,piricapiron,"dopamine receptor antagonist, serotonin receptor antagonist",HTR2A,other,False,False,False,574,0.02018283821825,0.019698111042864244,0.5278745644599303,0.005226480836236934,0.06445993031358885,0.28020025982103747
BRD-A04252265-003-01-4,eperisone,acetylcholine receptor antagonist,CYP2J2,other,False,False,False,563,-0.0110023078572,-0.029153872590847667,0.48845470692717585,0.017761989342806393,0.12255772646536411,0.21990355359928312
BRD-A04322457-003-17-9,isoprenaline,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3",other,False,False,False,569,0.206535359708,0.19823501326011603,0.7363796133567663,0.0035149384885764497,0.03163444639718805,0.5720889625199508
BRD-A04327189-001-15-1,synephrine,adrenergic receptor agonist,ADRA1A,other,False,False,False,570,-0.10254175133625,-0.09584959840641098,0.43157894736842106,0.02456140350877193,0.1736842105263158,0.09482666971638158
BRD-A04327189-003-03-3,synephrine,adrenergic receptor agonist,ADRA1A,other,False,False,False,550,0.07961503128385,0.05843587665396511,0.5836363636363636,0.016363636363636365,0.07636363636363637,0.35916048582930454
BRD-A04352665-001-05-3,maraviroc,CC chemokine receptor antagonist,CCR5,other,False,False,False,550,0.216914708789,0.207958103732915,0.7109090909090909,0.0018181818181818182,0.03272727272727273,0.5710056178799091
BRD-A04447196-001-01-8,gepefrine,adrenergic receptor agonist,,other,False,False,False,548,0.02881264174325,0.028884432148536004,0.5383211678832117,0.0,0.040145985401459854,0.29797322568485585
BRD-A04497688-001-04-2,trilostane,3beta-hydroxy-delta5-steroid dehydrogenase inhibitor,"ESR1, ESR2, HSD3B1, HSD3B2",other,False,False,False,569,0.143208031743,0.12525887040385175,0.6590509666080844,0.005272407732864675,0.043936731107205626,0.4687792092473937
BRD-A04506385-001-01-2,stepronin,mucolytic agent,,other,False,False,False,561,-0.272925018227,-0.294297344996794,0.26024955436720143,0.0784313725490196,0.31194295900178254,-0.201623770455164
BRD-A04553218-050-16-2,chlorphenamine,histamine receptor antagonist,"HRH1, SLC6A2, SLC6A3, SLC6A4",other,False,False,False,569,0.100682286948,0.09132508187455952,0.6467486818980668,0.0035149384885764497,0.043936731107205626,0.42142042403060104
BRD-A04661934-001-02-9,2-PMDQ,adrenergic receptor antagonist,ADRA1A,other,False,False,False,574,-0.040652809385500005,-0.04733538681115826,0.44947735191637633,0.020905923344947737,0.08362369337979095,0.16840642406397735
BRD-A04971881-003-01-3,cloranolol,adrenergic receptor antagonist,"ADRB1, ADRB2, ADRB3",other,False,False,False,547,0.103841000597,0.0956955376195325,0.6398537477148081,0.0,0.02376599634369287,0.423767874454404
BRD-A05186015-003-19-8,bupropion,dopamine uptake inhibitor,"CHRNA3, SLC6A2, SLC6A3",other,False,False,False,569,0.205321918365,0.20826695076079652,0.7469244288224957,0.0035149384885764497,0.019332161687170474,0.5761479289098155
BRD-A05334458-001-02-8,lisofylline,"interleukin receptor antagonist, STAT inhibitor",,other,False,False,False,569,0.33267889539,0.35129381094032996,0.8787346221441125,0.0017574692442882249,0.008787346221441126,0.7707281045288401
BRD-A05457250-001-08-4,BAY-K-8644-(+/-),L-type calcium channel activator,,other,False,False,False,572,-0.336147115434,-0.33145135787725766,0.21678321678321677,0.07342657342657342,0.33916083916083917,-0.28282543711232166
BRD-A05515753-001-03-2,erdosteine,mucolytic agent,,other,False,False,False,569,0.081019709222,0.09056137365107306,0.6186291739894552,0.0017574692442882249,0.033391915641476276,0.38901619428351136
BRD-A05523972-001-01-5,telmesteine,mucolytic agent,,other,False,False,False,569,0.245979397445,0.25071314863685124,0.7943760984182777,0.0017574692442882249,0.01054481546572935,0.6418493447209227
BRD-A05674712-001-06-0,"mevalonic-d,-l-acid-lactone",,,other,False,False,False,538,0.0728556933949,0.04997944022606667,0.5762081784386617,0.00929368029739777,0.06319702602230483,0.35398952239118253
BRD-A05729358-001-02-0,CPCCOEt,glutamate receptor antagonist,GRM1,other,False,False,False,569,-0.0190937778855,-0.02668290974749902,0.47627416520210897,0.007029876977152899,0.08963093145869948,0.21377089698268983
BRD-A05906449-004-01-1,lappaconite,sodium channel blocker,,other,False,False,False,565,0.163475164628,0.16516162677457732,0.6973451327433628,0.008849557522123894,0.049557522123893805,0.5055105628580885
BRD-A06352418-001-25-9,terfenadine,histamine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, KCNH1, KCNH2",other,False,False,False,550,-0.39677703183150004,-0.49041445193866756,0.2290909090909091,0.20727272727272728,0.4218181818181818,-0.43768612274059093
BRD-A06352508-001-03-7,SB-218078,CHK inhibitor,CHEK1,other,False,False,False,570,-0.29055980484800004,-0.3585858823845253,0.3543859649122807,0.22807017543859648,0.4105263157894737,-0.28441945397080703
BRD-A06390036-001-04-6,hydroquinidine,antiarrhythmic,,other,False,False,False,570,0.1372097994155,0.15130772889412264,0.6631578947368421,0.0035087719298245615,0.03684210526315789,0.4661571678365526
BRD-A06426627-001-03-5,diclazuril,antiprotozoal agent,,other,False,False,False,565,-0.498242197242,-0.5047391423326021,0.15221238938053097,0.1504424778761062,0.49911504424778763,-0.5349678609588142
BRD-A06627858-236-03-0,monensin,bacterial permeability inducer,,other,False,False,False,570,-2.5196992510199996,-2.6060514628703855,0.007017543859649123,0.9192982456140351,0.9736842105263158,-3.2056641633007015
BRD-A06771424-004-01-7,anisotropine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3",other,False,False,False,557,0.0503761031143,0.02283149056488247,0.5619389587073609,0.008976660682226212,0.08617594254937164,0.3246130869563108
BRD-A06916187-001-02-9,CPI-613,pyruvate dehydrogenase inhibitor,PDHA1,other,False,False,False,569,0.158022075904,0.1537662576606822,0.6766256590509666,0.0017574692442882249,0.0210896309314587,0.49501680349626714
BRD-A06935312-001-04-3,fusidic-acid,bacterial 30S ribosomal subunit inhibitor,,other,False,False,False,569,0.200865427588,0.18271557635101576,0.7363796133567663,0.0017574692442882249,0.026362038664323375,0.567737132333167
