layer,compound,evidence_or_table,source_url_or_file,use_in_table
Normal protection literature,Trolox,Trolox contributes to Nrf2-mediated protection of human and murine primary alveolar type II cells from injury by cigarette smoke,https://pmc.ncbi.nlm.nih.gov/articles/PMC3668634/,PN literature prior / normal protection support
Normal protection literature,Trolox,Trolox inhibits peroxynitrite-mediated oxidative stress and apoptosis in rat thymocytes,https://pubmed.ncbi.nlm.nih.gov/8809090/,PN literature prior / normal protection support
Normal protection literature,Trolox,Concentration Dependence of the Antioxidant and Prooxidant Effects of Trolox,https://pmc.ncbi.nlm.nih.gov/articles/PMC7693461/,PN literature prior / normal protection support
Normal protection literature,Taurine,Taurine attenuates apoptosis in primary liver cells isolated from Atlantic salmon,https://pubmed.ncbi.nlm.nih.gov/23182339/,PN literature prior / normal protection support
Normal protection literature,Taurine,Taurine protection of PC12 cells against endoplasmic reticulum stress induced by oxidative stress,https://pmc.ncbi.nlm.nih.gov/articles/PMC2994405/,PN literature prior / normal protection support
Normal protection literature,Taurine,"Taurine, an osteocyte metabolite, protects against oxidative stress",https://pmc.ncbi.nlm.nih.gov/articles/PMC7369146/,PN literature prior / normal protection support
Normal protection literature,Benfotiamine,Benfotiamine prevents macro- and microvascular endothelial dysfunction and oxidative stress following a meal rich in advanced glycation end products,https://pubmed.ncbi.nlm.nih.gov/16936154/,PN literature prior / normal protection support
Normal protection literature,Benfotiamine,"Protective role of benfotiamine, a fat soluble vitamin B1 analogue, in lipopolysaccharide-induced cytotoxic signals",https://pmc.ncbi.nlm.nih.gov/articles/PMC2856750/,PN literature prior / normal protection support
Normal protection literature,Benfotiamine,Effect of Benfotiamine on Advanced Glycation Endproducts and Markers of Endothelial Dysfunction and Inflammation,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0040427,PN literature prior / normal protection support
Normal protection literature,L-ergothioneine,Skin cells and tissue are capable of using L-ergothioneine as an integral component of their antioxidant defense system,https://pubmed.ncbi.nlm.nih.gov/19439218/,PN literature prior / normal protection support
Normal protection literature,L-ergothioneine,Ergothioneine Protects Against UV-Induced Oxidative Stress Through the PI3K/AKT/Nrf2 Signaling Pathway,https://pmc.ncbi.nlm.nih.gov/articles/PMC11162207/,PN literature prior / normal protection support
Normal protection literature,L-ergothioneine,Protective Effect of Ergothioneine against Oxidative Stress-Induced Chondrocyte Death,https://pmc.ncbi.nlm.nih.gov/articles/PMC11274255/,PN literature prior / normal protection support
Curated ChEMBL normal-like toxicity,all candidates,chembl_curated_normal_toxicity_summary_by_compound.csv,(internal source package),TN curated prior and evidence gaps
PRISM / DepMap cancer-side,repair candidates,fourth_paper_minimal_validation_design_v1.xlsx Selected_Pairs,(internal source package),PC penalty and pair priors
Leave-one-MOA-out removal axis,removal axis axes,leave_one_MOA_out_moa_axes_and_tiers.xlsx Tier_table,(internal source package),RC proxy and axis tier
