compound,role,axis_or_class,preferred_query,notes,PubChem_CID,MolecularFormula,MolecularWeight,CanonicalSMILES,IsomericSMILES,InChIKey,IUPACName,PubChem_synonyms_top,ChEMBL_ID,ChEMBL_pref_name,ChEMBL_top_hits_json,match_status
taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,taurine,selected pair: taurine × KIF11 and taurine × PLK/Aurora,1123,C2H7NO3S,125.15,,,XOAAWQZATWQOTB-UHFFFAOYSA-N,2-aminoethanesulfonic acid,"taurine|2-aminoethanesulfonic acid|107-35-7|L-Taurine|Ethanesulfonic acid, 2-amino-|tauphon|2-Aminoethylsulfonic acid|2-Sulfoethylamine|aminoethylsulfonic acid|Aminoethanesulfonic acid|O-Due|2-aminoethane-1-sulfonic acid|taufon|beta-Aminoethylsulfonic acid|Taurina|FEMA No. 3813|Taurinum|NCI-C60606|Taukard|DTXSID3021304",CHEMBL239243,TAURINE,"[{""molecule_chembl_id"": ""CHEMBL239243"", ""pref_name"": ""TAURINE"", ""max_phase"": ""3.0"", ""therapeutic_flag"": false}]",matched
trolox,repair_candidate,strict repair/protective; antioxidant probe,trolox,repair-only-risk stress-test candidate,40634,C14H18O4,250.29,,,GLEVLJDDWXEYCO-UHFFFAOYSA-N,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid","trolox|53188-07-1|6-Hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid|TROLOX C|3,4-Dihydro-6-hydroxy-2,5,7,8-tetramethyl-2H-1-benzopyran-2-carboxylic acid|S18UL9710X|6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid|6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-carboxylic acid|CHEBI:82625|DTXSID60866306|(+--)-trolox|RefChem:543360|DTXCID60220823|(+--)-6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid|2h-1-benzopyran-2-carboxylic acid, 3,4-dihydro-6-hydroxy-2,5,7,8-tetramethyl-, (+--)-|258-422-8|6-Hydroxy-2,5,7,8-tetramethylchromane-2-carboxylic acid|MFCD00006846|56305-04-5|2H-1-Benzopyran-2-carboxylic acid, 3,4-dihydro-6-hydroxy-2,5,7,8-tetramethyl-",CHEMBL153,TROLOX,"[{""molecule_chembl_id"": ""CHEMBL153"", ""pref_name"": ""TROLOX"", ""max_phase"": null, ""therapeutic_flag"": false}]",matched
benfotiamine,repair_candidate,strict repair/protective; metabolic/stress protection,benfotiamine,metabolic protection candidate,3032771,C19H23N4O6PS,466.4,,,BTNNPSLJPBRMLZ-LGMDPLHJSA-N,S-[(Z)-2-[(4-amino-2-methylpyrimidin-5-yl)methyl-formylamino]-5-phosphonooxypent-2-en-3-yl] benzenecarbothioate,benfotiamine|Benphothiamine|22457-89-2|Biotamin|Benzoylthiamine monophosphate|benfothiamine|S-Benzoylthiamine monophosphate|Benfotiamina|S-Benzoylthiamine O-monophosphate|Benzoylthiamine O-monophosphate|Benfotiaminum|BTMP|8088 C.B|BENZOYLTHIAMINMONOPHOSPHAT|DTXCID1025433|CHEBI:41039|8088CB|8088-CB|DTXSID3045433|N-((4-Amino-2-methyl-5-pyrimidinyl)methyl)-N-(4-hydroxy-2-mercapto-1-methyl-1-butenyl)formamide S-benzoate O-phosphate,CHEMBL4303665,BENFOTIAMINE,"[{""molecule_chembl_id"": ""CHEMBL4303665"", ""pref_name"": ""BENFOTIAMINE"", ""max_phase"": ""3.0"", ""therapeutic_flag"": false}]",matched
L-ergothioneine,repair_candidate,strict repair/protective; antioxidant-like,L-ergothioneine,high normal-protection prior; PC risk must be measured,5351619,C9H15N3O2S,229.3,,,SSISHJJTAXXQAX-ZETCQYMHSA-N,"(2S)-3-(2-sulfanylidene-1,3-dihydroimidazol-4-yl)-2-(trimethylazaniumyl)propanoate","ERGOTHIONEINE|497-30-3|L-Ergothioneine|Sympectothion|Ergothionine|Thioneine|l-Thioneine|Thiasine|L(+)-Ergothioneine|Thiolhistidine-betaine|BDZ3DQM98W|DTXSID901020082|(2S)-3-(2-sulfanylidene-1,3-dihydroimidazol-4-yl)-2-(trimethylazaniumyl)propanoate|CHEBI:4828|(2S)-3-(2-sulfanylidene-2,3-dihydro-1H-imidazol-4-yl)-2-(trimethylazaniumyl)propanoate|1H-Imidazole-4-ethanaminium, alpha-carboxy-2,3-dihydro-N,N,N-trimethyl-2-thioxo-, inner salt, (S)-|2 Thiol L histidine betaine|(alphaS)-alpha-carboxy-2,3-dihydro-N,N,N-trimethyl-2-thioxo-1H-imidazole-4-ethanaminium inner salt|NSC-7175|2-Thiol-L-histidine-betaine",CHEMBL5209630,,"[{""molecule_chembl_id"": ""CHEMBL5209630"", ""pref_name"": null, ""max_phase"": null, ""therapeutic_flag"": false}]",matched
dexamethasone,repair_candidate_watchlist,glucocorticoid representative,dexamethasone,glucocorticoid/non-trapdoor/avoid comparator,5743,C22H29FO5,392.5,,,UREBDLICKHMUKA-CXSFZGCWSA-N,"(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",dexamethasone|50-02-2|Decadron|Aeroseb-Dex|Cortisumman|Calonat|Decaderm|Dexacortal|Dexacortin|Prednisolone F|Fluormethylprednisolone|Deltafluorene|Hexadecadrol|Superprednol|Visumetazone|Aphtasolon|Decasone|Decaspray|Dekacort|Desadrene,CHEMBL384467,DEXAMETHASONE,"[{""molecule_chembl_id"": ""CHEMBL384467"", ""pref_name"": ""DEXAMETHASONE"", ""max_phase"": ""4.0"", ""therapeutic_flag"": true}]",matched
hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,hydrocortisone acetate,glucocorticoid representative,5744,C23H32O6,404.5,,,ALEXXDVDDISNDU-JZYPGELDSA-N,"[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",hydrocortisone acetate|50-03-3|Cortisol 21-acetate|Hydrocortisone 21-acetate|Cortell|Cortef acetate|Cortisol acetate|Cortifoam|Lanacort|Carmol HC|Dricort|Micort-hc|Hemsol-HC|Orabase HCA|U-CORT|NSC-741|21-O-acetylcortisol|Cortucid|Hepacort Plus|Barquinol HC,CHEMBL1091,HYDROCORTISONE ACETATE,"[{""molecule_chembl_id"": ""CHEMBL1091"", ""pref_name"": ""HYDROCORTISONE ACETATE"", ""max_phase"": ""4.0"", ""therapeutic_flag"": true}]",matched
prednisolone,repair_candidate_watchlist,glucocorticoid representative,prednisolone,glucocorticoid representative,5755,C21H28O5,360.4,,,OIGNJSKKLXVSLS-VWUMJDOOSA-N,"(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one",prednisolone|50-24-8|Metacortandralone|Hydroretrocortine|Deltacortril|Delta-Cortef|Codelcortone|Prenolone|Sterane|Deltahydrocortisone|Cortalone|Deltacortenol|Donisolone|Fernisolone|Hydrodeltalone|Paracortol|Hydeltra|Hydroretrocortin|Decortin H|Meti-Derm,CHEMBL131,PREDNISOLONE,"[{""molecule_chembl_id"": ""CHEMBL131"", ""pref_name"": ""PREDNISOLONE"", ""max_phase"": ""4.0"", ""therapeutic_flag"": true}]",matched
SB-743921,trapdoor_candidate,KIF11 / kinesin / spindle,SB-743921,KIF11 core trapdoor,9936388,C31H33ClN2O3,517.1,,,PGXYIBJJCLWJST-MUUNZHRXSA-N,N-(3-aminopropyl)-N-[(1R)-1-(3-benzyl-7-chloro-4-oxochromen-2-yl)-2-methylpropyl]-4-methylbenzamide,"SB-743921|SB-743921 free base|SB 743921|UNII-24DSZ1VN92|SB 743921 [WHO-DD]|Benzamide, N-(3-aminopropyl)-N-((1R)-1-(7-chloro-4-oxo-3-(phenylmethyl)-4H-1-benzopyran-2-yl)-2-methylpropyl)-4-methyl-|1067881-56-4|Benzamide, N-(3-aminopropyl)-N-[(1R)-1-[7-chloro-4-oxo-3-(phenylmethyl)-4H-1-benzopyran-2-yl]-2-methylpropyl]-4-methyl-|RefChem:181585|KSP Inhibitor SB-743921|940929-33-9|SB743921|618430-39-0|24DSZ1VN92|N-(3-Aminopropyl)-N-[(1r)-1-(3-Benzyl-7-Chloro-4-Oxo-4h-Chromen-2-Yl)-2-Methylpropyl]-4-Methylbenzamide|SB-743921 (free base)|CHEMBL2325429|N-(3-aminopropyl)-N-[(1R)-1-(3-benzyl-7-chloro-4-oxochromen-2-yl)-2-methylpropyl]-4-methylbenzamide|(R)-N-(3-Aminopropyl)-N-(1-(3-benzyl-7-chloro-4-oxo-4h-chromen-2-yl)-2-methylpropyl)-4-methylbenzamide|618430-39-0 (free base)",CHEMBL2325429,SB-743921,"[{""molecule_chembl_id"": ""CHEMBL2325429"", ""pref_name"": ""SB-743921"", ""max_phase"": ""1.0"", ""therapeutic_flag"": false}]",matched
ispinesib,trapdoor_candidate,KIF11 / kinesin / spindle,ispinesib,KIF11 core trapdoor,6851740,C30H33ClN4O2,517.1,,,QJZRFPJCWMNVAV-HHHXNRCGSA-N,N-(3-aminopropyl)-N-[(1R)-1-(3-benzyl-7-chloro-4-oxoquinazolin-2-yl)-2-methylpropyl]-4-methylbenzamide,"Ispinesib|336113-53-2|SB-715992|BKT5F9C2NI|SB715992|DTXSID20187307|n-(3-aminopropyl)-n-[(1r)-1-(3-benzyl-7-chloro-4-oxo-3,4-dihydroquinazolin-2-yl)-2-methylpropyl]-4-methylbenzamide|ispinesibum|N-(3-aminopropyl)-N-((1R)-1-(3-benzyl-7-chloro-4-oxo-3,4-dihydroquinazolin-2-yl)-2-methylpropyl)-4-methylbenzamide|RefChem:150176|DTXCID90109798|NSC727990|Ispinesib (SB-715992)|Ispinesib [INN]|SB 715992|UNII-BKT5F9C2NI|MFCD22628831|(R)-N-(3-aminopropyl)-N-(1-(3-benzyl-7-chloro-4-oxo-3,4-dihydroquinazolin-2-yl)-2-methylpropyl)-4-methylbenzamide|N-(3-aminopropyl)-N-[(1R)-1-(3-benzyl-7-chloro-4-oxoquinazolin-2-yl)-2-methylpropyl]-4-methylbenzamide|N-(3-Aminopropyl)-N-[(1R)-1-[7-chloro-3,4-dihydro-4-oxo-3-(phenylmethyl)-2-quinazolinyl]-2-methylpropyl]-4-methylbenzamide",CHEMBL228814,ISPINESIB,"[{""molecule_chembl_id"": ""CHEMBL228814"", ""pref_name"": ""ISPINESIB"", ""max_phase"": ""2.0"", ""therapeutic_flag"": false}]",matched
litronesib,trapdoor_candidate,KIF11 / kinesin / spindle,litronesib,KIF11 core trapdoor,25167017,C23H37N5O4S2,511.7,,,YVAFBXLHPINSIK-QHCPKHFHSA-N,"N-[(5R)-4-(2,2-dimethylpropanoyl)-5-[[2-(ethylamino)ethylsulfonylamino]methyl]-5-phenyl-1,3,4-thiadiazol-2-yl]-2,2-dimethylpropanamide","Litronesib|910634-41-2|KF 89617|LY2523355|LY-2523355|KF89617|LY 2523355|6611F8KYCV|KF-89617|Propanamide, N-(4-(2,2-dimethyl-1-oxopropyl)-5-((((2-(ethylamino)ethyl)sulfonyl) amino)methyl)-4,5-dihydro-5-phenyl-1,3,4-thiadiazol-2-yl)-2,2-dimethyl-, (-)-|litronesibum|RefChem:924836|(-)-N-(4-(2,2-dimethyl-propionyl)-5-((2-ethylamino-ethanesulfonylamino)-methyl)-5-phenyl-4,5-dihydro-(1,3,4)thiadiazol-2-yl)-2,2-dimethyl-propionamide|(-)-N-(4-(2,2-dimethylpropanoyl)-5-((((2-(ethylamino)ethyl)sulfonyl)amino)methyl)-5-phenyl-4,5-dihydro-1,3,4-thiadiazol-2-yl)-2,2-dimethylpropanamide|(R)-N-(4-(2,2-dimethyl-propionyl)-5-((2-ethylamino-ethanesulfonylamino)-methyl)-5-phenyl-4,5-dihydro-(1,3,4)thiadiazol-2-yl)-2,2-dimethyl-propionamide|N-((5R)-4-(2,2-dimethylpropanoyl)-5-((2-(ethylamino)ethanesulfonamido)methyl)-5-phenyl-4,5-dihydro-1,3,4-thiadiazol-2-yl)-2,2-dimethylpropanamide|N-(4-(2,2-dimethyl-propionyl)-5-((2-ethylamino-ethanesulfonylamino)-methyl)-5-phenyl-4,5-dihydro-(1,3,4)thiadiazol-2-yl)-2,2-dimethyl-propionamide|(-)-N-[4-(2,2-Dimethylpropanoyl)-5-[[2-(ethylamino)ethanesulfonamido]methyl]-5-phenyl-4,5-dihydro-1,3,4-thiadiazol-2-yl]-2,2-dimethylpropanamide|N-[(5R)-4-(2,2-dimethylpropanoyl)-5-[[2-(ethylamino)ethylsulfonylamino]methyl]-5-phenyl-1,3,4-thiadiazol-2-yl]-2,2-dimethylpropanamide|Litronesib [USAN]",CHEMBL2105661,LITRONESIB,"[{""molecule_chembl_id"": ""CHEMBL2105661"", ""pref_name"": ""LITRONESIB"", ""max_phase"": ""2.0"", ""therapeutic_flag"": false}]",matched
