repair_drug_key,repair_candidate,repair_class,repair_moa,repair_eqcl_group,binary_repair_risk_rank,refined_repair_risk_rank,PC_cancer_preservation_penalty,PC_cancer_preservation_formula,PN_normal_protection_prior,repair_rationale
BRD-K26341917-001-01-3,L-ergothioneine,antioxidant-like protection,free radical scavenger,strict repair/protective,0.9269,0.9966,0.9966,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.82,Normal-protection hypothesis: stress/ROS buffering; cancer-preservation risk must be measured.
BRD-K51474575-001-10-4,taurine,antioxidant-like protection,antioxidant,strict repair/protective,0.6724,0.8937,0.8937,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.82,Normal-protection hypothesis: stress/ROS buffering; cancer-preservation risk must be measured.
BRD-A17846016-001-13-9,trolox,antioxidant-like protection,antioxidant,strict repair/protective,0.549,0.4238,0.4238,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.82,Normal-protection hypothesis: stress/ROS buffering; cancer-preservation risk must be measured.
BRD-K07359318-001-03-9,benfotiamine,antioxidant-like protection,antioxidant,strict repair/protective,0.3996,0.5271,0.5271,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.82,Normal-protection hypothesis: stress/ROS buffering; cancer-preservation risk must be measured.
BRD-A40940854-001-01-1,ibuproxam,anti-inflammatory / COX-like protection,"cyclooxygenase inhibitor, prostaglandin inhibitor",broad repair/protective,0.9337,1.0,1.0,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.65,Normal-protection hypothesis: inflammatory-stress reduction; possible survival-preservation risk.
BRD-K94723713-001-10-6,rutaecarpine,anti-inflammatory / COX-like protection,cyclooxygenase inhibitor,broad repair/protective,0.9167,0.8605,0.8605,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.65,Normal-protection hypothesis: inflammatory-stress reduction; possible survival-preservation risk.
BRD-K98372770-001-08-2,L-165041,metabolic / stress-protection,PPAR receptor agonist,broad repair/protective,0.9082,0.9133,0.9133,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.64,Normal-protection hypothesis: metabolic/stress-buffering support; context-specific cancer risk.
BRD-A66869276-001-02-9,diflorasone-diacetate,glucocorticoid-like protection,glucocorticoid receptor agonist,broad repair/protective,0.9626,0.9762,0.9762,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.72,Normal-protection hypothesis: anti-inflammatory/tissue-protective; high cancer-preservation concern.
BRD-A65767837-001-04-4,hydrocortisone-acetate,glucocorticoid-like protection,glucocorticoid receptor agonist,broad repair/protective,0.898,0.966,0.966,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.72,Normal-protection hypothesis: anti-inflammatory/tissue-protective; high cancer-preservation concern.
BRD-A83802939-304-04-2,dexamethasone-sodium-phosphate,glucocorticoid-like protection,glucocorticoid receptor agonist,broad repair/protective,0.8673,0.9286,0.9286,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.72,Normal-protection hypothesis: anti-inflammatory/tissue-protective; high cancer-preservation concern.
BRD-A53151380-001-01-2,prednisolone-tebutate,anti-inflammatory / COX-like protection,anti-inflammatory agent,broad repair/protective,0.9077,0.8675,0.8675,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.65,Normal-protection hypothesis: inflammatory-stress reduction; possible survival-preservation risk.
BRD-A45044890-236-02-3,methylprednisolone-sodium-succinate,glucocorticoid-like protection,glucocorticoid receptor agonist,broad repair/protective,0.8503,0.9303,0.9303,"refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C",0.72,Normal-protection hypothesis: anti-inflammatory/tissue-protective; high cancer-preservation concern.
