compound,role,axis_or_class,n_raw_rows,n_accepted_curated,n_tierA_human_normal_like,n_tierB_supportive_nonhuman,n_excluded,curated_normal_toxicity_prior_0_1,curated_toxicity_bucket,curated_key_concentration_uM,min_active_toxicity_uM,max_no_signal_bound_uM,curated_assay_examples,main_exclusion_reasons,interpretation
BI-2536,removal_axis_candidate,PLK / Aurora / mitotic checkpoint,830,25,24,1,805,1.0,very_high_toxicity_signal_le_1uM,0.012,0.012,30.0,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry. || Incucyte cell viability with human fibroblast || Antiproliferative activity against human RPE cells expressing wild-type PLK1 assessed as reduction in cell viability after 72 hrs by MTT assay || Antiproliferative activity against human RPE cells expressing C67V mutant PLK1 assessed as reduction in cell viability after 72 hrs by MTT assay || Antiproliferative activity against human RPE cells expressing wild-type PLK1 assessed as reduction in cell viability measured after 72 hrs by MTT assay","[[""exclude_no_clear_normal_like_cell_keyword"", 783], [""exclude_pathogen_or_infection_context"", 42], [""exclude_cancer_cell_context"", 33], [""exclude_not_viability_or_cytotoxicity"", 4]]",usable curated ChEMBL normal-like toxicity prior
CHIR-124,removal_axis_candidate,CHK / DDR checkpoint,12,0,0,0,12,,insufficient_curated_quantitative_data,,,,,"[[""exclude_no_clear_normal_like_cell_keyword"", 12], [""exclude_pathogen_or_infection_context"", 3]]",no high-confidence normal-like ChEMBL assay after curation
LY2606368,removal_axis_candidate,CHK / DDR checkpoint,30,0,0,0,30,,insufficient_curated_quantitative_data,,,,,"[[""exclude_no_clear_normal_like_cell_keyword"", 30], [""exclude_pathogen_or_infection_context"", 7], [""exclude_generic_pubchem_without_clear_normal_cell"", 3]]",no high-confidence normal-like ChEMBL assay after curation
NMS-E973,removal_axis_candidate,HSP / proteostasis,9,0,0,0,9,,insufficient_curated_quantitative_data,,,,,"[[""exclude_no_clear_normal_like_cell_keyword"", 5], [""exclude_not_viability_or_cytotoxicity"", 4], [""exclude_pathogen_or_infection_context"", 3]]",no high-confidence normal-like ChEMBL assay after curation
NVP-AUY922,removal_axis_candidate,HSP / proteostasis,732,7,5,2,725,1.0,very_high_toxicity_signal_le_1uM,0.4,0.4,,"Cytotoxicity against mouse primary hepatocytes assessed as reduction in cell viability at 5 to 20 uM after 24 hrs by MTT assay || Ocular toxicity in Sprague-Dawley rat retina damage model assessed as induction of retinal cell death at 10 mg/kg, iv administered for 2 consecutive days by TUNEL staining based analysis || Cytotoxicity against mouse 661W cells by MTT based vision related toxicity assay || Incucyte cell viability with human fibroblast || Cytotoxicity against human IMR-90 cells assessed as inhibition of cell proliferation incubated for 96 hrs by MTT assay","[[""exclude_no_clear_normal_like_cell_keyword"", 719], [""exclude_not_viability_or_cytotoxicity"", 9], [""exclude_pathogen_or_infection_context"", 9], [""exclude_cancer_cell_context"", 8], [""exclude_generic_pubchem_without_clear_normal_cell"", 3]]",usable curated ChEMBL normal-like toxicity prior
PF-477736,removal_axis_candidate,CHK / DDR checkpoint,388,9,9,0,379,1.0,very_high_toxicity_signal_le_1uM,0.192,0.192,30.0,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry. || Incucyte cell viability with human fibroblast","[[""exclude_no_clear_normal_like_cell_keyword"", 359], [""exclude_cancer_cell_context"", 31], [""exclude_pathogen_or_infection_context"", 21], [""exclude_generic_pubchem_without_clear_normal_cell"", 3], [""exclude_not_viability_or_cytotoxicity"", 2]]",usable curated ChEMBL normal-like toxicity prior
SB-743921,removal_axis_candidate,KIF11 / kinesin / spindle,25,0,0,0,25,,insufficient_curated_quantitative_data,,,,,"[[""exclude_no_clear_normal_like_cell_keyword"", 25], [""exclude_not_viability_or_cytotoxicity"", 14], [""exclude_pathogen_or_infection_context"", 9], [""exclude_cancer_cell_context"", 1]]",no high-confidence normal-like ChEMBL assay after curation
alisertib,removal_axis_candidate,PLK / Aurora / mitotic checkpoint,447,17,14,3,430,1.0,very_high_toxicity_signal_le_1uM,0.0003,0.0003,30.0,"Competitive inhibition of recombinant mouse aurora kinase A expressed in insect Sf9 cells in presence of ATP || Inhibition of recombinant mouse aurora kinase A expressed in insect Sf9 cells using biotin-GLRRASLG as substrate in presence of [gamma-33P]ATP || Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry. || Induction of apoptosis in human NCI-H82 cells xenografted in athymic nu/nu nude mouse assessed as increase in cleaved PARP1 protein expression level at 100 mg/kg, po measured up to 24 hrs by Western blot analysis || Incucyte cell viability with human fibroblast","[[""exclude_no_clear_normal_like_cell_keyword"", 406], [""exclude_pathogen_or_infection_context"", 31], [""exclude_cancer_cell_context"", 31], [""exclude_not_viability_or_cytotoxicity"", 17], [""exclude_generic_pubchem_without_clear_normal_cell"", 12]]",usable curated ChEMBL normal-like toxicity prior
alvespimycin,removal_axis_candidate,HSP / proteostasis,40,1,1,0,39,,insufficient_curated_quantitative_data,,,,Cytotoxicity against mouse primary hepatocytes assessed as reduction in cell viability at 5 to 20 uM after 24 hrs by MTT assay,"[[""exclude_no_clear_normal_like_cell_keyword"", 37], [""exclude_cancer_cell_context"", 11], [""exclude_not_viability_or_cytotoxicity"", 6], [""exclude_pathogen_or_infection_context"", 5]]",usable curated ChEMBL normal-like toxicity prior
benfotiamine,repair_candidate,strict repair/protective; metabolic/stress protection,10,0,0,0,10,,insufficient_curated_quantitative_data,,,,,"[[""exclude_no_clear_normal_like_cell_keyword"", 10], [""exclude_pathogen_or_infection_context"", 8], [""exclude_not_viability_or_cytotoxicity"", 2]]",no high-confidence normal-like ChEMBL assay after curation
dexamethasone,repair_candidate_watchlist,glucocorticoid representative,329,68,17,51,261,1.0,very_high_toxicity_signal_le_1uM,0.001,0.001,50.0,"Inhibition of P-glycoprotein using calcein-AM assay transfected in porcine PBCEC || Inhibition of P-glycoprotein, mouse L-mdr1a expressed in LLC-PK1 epithelial cells using calcein-AM polarisation assay || Inhibition of P-glycoprotein, mouse L-mdr1b expressed in LLC-PK1 epithelial cells using calcein-AM polarisation assay || Inhibition of P-glycoprotein, human L-MDR1 expressed in LLC-PK1 epithelial cells using calcein-AM polarisation assay || P-gp activity was measured by a direct transport assay, using polarized LLC-PK1 epithelial cells","[[""exclude_no_clear_normal_like_cell_keyword"", 222], [""exclude_not_viability_or_cytotoxicity"", 136], [""exclude_generic_pubchem_without_clear_normal_cell"", 29], [""exclude_pathogen_or_infection_context"", 23], [""exclude_cancer_cell_context"", 5]]",usable curated ChEMBL normal-like toxicity prior
filanesib,removal_axis_candidate,KIF11 / kinesin / spindle,10,0,0,0,10,,insufficient_curated_quantitative_data,,,,,"[[""exclude_no_clear_normal_like_cell_keyword"", 10], [""exclude_pathogen_or_infection_context"", 7], [""exclude_not_viability_or_cytotoxicity"", 1]]",no high-confidence normal-like ChEMBL assay after curation
