curation_reason_combination,n_rows
exclude_no_clear_normal_like_cell_keyword,2449
exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,191
exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,152
exclude_not_viability_or_cytotoxicity,132
exclude_cancer_cell_context;exclude_no_clear_normal_like_cell_keyword,71
exclude_pathogen_or_infection_context;exclude_cancer_cell_context,54
exclude_generic_pubchem_without_clear_normal_cell;exclude_no_clear_normal_like_cell_keyword,34
exclude_pathogen_or_infection_context;exclude_generic_pubchem_without_clear_normal_cell;exclude_no_clear_normal_like_cell_keyword,23
exclude_pathogen_or_infection_context,4
exclude_pathogen_or_infection_context;exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,4
exclude_generic_pubchem_without_clear_normal_cell;exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,2
exclude_cancer_cell_context,1
