compound,curation_reason,n_rows_with_reason
BI-2536,exclude_no_clear_normal_like_cell_keyword,783
BI-2536,exclude_pathogen_or_infection_context,42
BI-2536,exclude_cancer_cell_context,33
BI-2536,exclude_not_viability_or_cytotoxicity,4
CHIR-124,exclude_no_clear_normal_like_cell_keyword,12
CHIR-124,exclude_pathogen_or_infection_context,3
LY2606368,exclude_no_clear_normal_like_cell_keyword,30
LY2606368,exclude_pathogen_or_infection_context,7
LY2606368,exclude_generic_pubchem_without_clear_normal_cell,3
NMS-E973,exclude_no_clear_normal_like_cell_keyword,5
NMS-E973,exclude_not_viability_or_cytotoxicity,4
NMS-E973,exclude_pathogen_or_infection_context,3
NVP-AUY922,exclude_no_clear_normal_like_cell_keyword,719
NVP-AUY922,exclude_not_viability_or_cytotoxicity,9
NVP-AUY922,exclude_pathogen_or_infection_context,9
NVP-AUY922,exclude_cancer_cell_context,8
NVP-AUY922,exclude_generic_pubchem_without_clear_normal_cell,3
PF-477736,exclude_no_clear_normal_like_cell_keyword,359
PF-477736,exclude_cancer_cell_context,31
PF-477736,exclude_pathogen_or_infection_context,21
PF-477736,exclude_generic_pubchem_without_clear_normal_cell,3
PF-477736,exclude_not_viability_or_cytotoxicity,2
SB-743921,exclude_no_clear_normal_like_cell_keyword,25
SB-743921,exclude_not_viability_or_cytotoxicity,14
SB-743921,exclude_pathogen_or_infection_context,9
SB-743921,exclude_cancer_cell_context,1
alisertib,exclude_no_clear_normal_like_cell_keyword,406
alisertib,exclude_pathogen_or_infection_context,31
alisertib,exclude_cancer_cell_context,31
alisertib,exclude_not_viability_or_cytotoxicity,17
alisertib,exclude_generic_pubchem_without_clear_normal_cell,12
alvespimycin,exclude_no_clear_normal_like_cell_keyword,37
alvespimycin,exclude_cancer_cell_context,11
alvespimycin,exclude_not_viability_or_cytotoxicity,6
alvespimycin,exclude_pathogen_or_infection_context,5
benfotiamine,exclude_no_clear_normal_like_cell_keyword,10
benfotiamine,exclude_pathogen_or_infection_context,8
benfotiamine,exclude_not_viability_or_cytotoxicity,2
dexamethasone,exclude_no_clear_normal_like_cell_keyword,222
dexamethasone,exclude_not_viability_or_cytotoxicity,136
dexamethasone,exclude_generic_pubchem_without_clear_normal_cell,29
dexamethasone,exclude_pathogen_or_infection_context,23
dexamethasone,exclude_cancer_cell_context,5
filanesib,exclude_no_clear_normal_like_cell_keyword,10
filanesib,exclude_pathogen_or_infection_context,7
filanesib,exclude_not_viability_or_cytotoxicity,1
hesperadin,exclude_no_clear_normal_like_cell_keyword,32
hesperadin,exclude_pathogen_or_infection_context,24
hesperadin,exclude_generic_pubchem_without_clear_normal_cell,3
hydrocortisone acetate,exclude_no_clear_normal_like_cell_keyword,12
hydrocortisone acetate,exclude_not_viability_or_cytotoxicity,6
hydrocortisone acetate,exclude_pathogen_or_infection_context,6
hydrocortisone acetate,exclude_generic_pubchem_without_clear_normal_cell,1
ispinesib,exclude_no_clear_normal_like_cell_keyword,24
ispinesib,exclude_pathogen_or_infection_context,7
ispinesib,exclude_not_viability_or_cytotoxicity,3
ispinesib,exclude_cancer_cell_context,2
litronesib,exclude_no_clear_normal_like_cell_keyword,4
litronesib,exclude_pathogen_or_infection_context,3
litronesib,exclude_not_viability_or_cytotoxicity,1
prednisolone,exclude_not_viability_or_cytotoxicity,115
prednisolone,exclude_no_clear_normal_like_cell_keyword,76
prednisolone,exclude_pathogen_or_infection_context,12
prexasertib,exclude_no_clear_normal_like_cell_keyword,30
prexasertib,exclude_pathogen_or_infection_context,7
prexasertib,exclude_generic_pubchem_without_clear_normal_cell,3
taurine,exclude_pathogen_or_infection_context,7
taurine,exclude_no_clear_normal_like_cell_keyword,7
taurine,exclude_generic_pubchem_without_clear_normal_cell,2
trolox,exclude_no_clear_normal_like_cell_keyword,120
trolox,exclude_not_viability_or_cytotoxicity,9
trolox,exclude_cancer_cell_context,3
trolox,exclude_pathogen_or_infection_context,3
volasertib,exclude_no_clear_normal_like_cell_keyword,3
volasertib,exclude_cancer_cell_context,1
