action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,_compound,_role,_axis_or_class,_filter_text,_normal_hits,_viability_hits,_cancer_hits,standard_value_uM,toxicity_bucket,curation_decision,curation_tier,curation_reason,normal_keyword_hits,viability_keyword_hits_curated,exclude_keyword_hits,activity_signal_curated
,,2043025,[],CHEMBL941862,Cytotoxicity against rat L6 cells after 72 hrs,A,,,BAO_0000190,BAO_0000219,cell-based format,NCCS(=O)(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139805,Bioorg Med Chem,2007.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,678028,>,1,1,>,,IC50,ug.mL-1,,90.0,CHEMBL614793,Rattus norvegicus,L6,10116,,,IC50,ug ml-1,UO_0000274,,90.0,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,cytotoxicity against rat l6 cells after 72 hrs | a | ic50 | > | l6 | rattus norvegicus | cell-based format | chembl1139805,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\brat\b|\bl6 cells\b,cytotox,,no_quantitative_value
,,3490854,[],CHEMBL1266185,Inhibition of neurosphere proliferation of mouse neural precursor cells by MTT assay,F,,,BAO_0000201,BAO_0000019,assay format,NCCS(=O)(=O)O,,,CHEMBL1255231,Nat Chem Biol,2007.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://qudt.org/vocab/unit#Percent,957679,,1,0,,Not active,Inhibition,%,,,CHEMBL612545,,Unchecked,,Not Active,,INH,,UO_0000187,,,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,inhibition of neurosphere proliferation of mouse neural precursor cells by mtt assay | f | inhibition |  | unchecked |  | assay format | chembl1255231,,proliferation|mtt,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b|neural precursor|neurosphere,proliferation|\bmtt\b,,no_quantitative_value
,,3116442,[],CHEMBL1069369,Cytotoxicity against HEK293 cells assessed as cell death at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614818,Homo sapiens,HEK293,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against hek293 cells assessed as cell death at 60 um after 7 days by ldh assay | a | activity |  | hek293 | homo sapiens | cell-based format | chembl1157597,hek293,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bhek[- ]?293\b,cytotox|\bldh\b|cell death,,no_quantitative_value
,,3116444,[],CHEMBL1072368,Cytotoxicity against human MRC5 cells assessed as cell death at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614181,Homo sapiens,MRC5,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human mrc5 cells assessed as cell death at 60 um after 7 days by ldh assay | a | activity |  | mrc5 | homo sapiens | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bmrc[- ]?5\b,cytotox|\bldh\b|cell death,,no_quantitative_value
,,3116447,[],CHEMBL1074341,Cytotoxicity against HEK293 cells assessed as plasma membrane damage at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614818,Homo sapiens,HEK293,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against hek293 cells assessed as plasma membrane damage at 60 um after 7 days by ldh assay | a | activity |  | hek293 | homo sapiens | cell-based format | chembl1157597,hek293,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bhek[- ]?293\b,cytotox|\bldh\b,,no_quantitative_value
,,3116449,[],CHEMBL1074343,Cytotoxicity against human MRC5 cells assessed as plasma membrane damage at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614181,Homo sapiens,MRC5,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human mrc5 cells assessed as plasma membrane damage at 60 um after 7 days by ldh assay | a | activity |  | mrc5 | homo sapiens | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bmrc[- ]?5\b,cytotox|\bldh\b,,no_quantitative_value
,,7967691,[],CHEMBL1930118,Cytotoxicity against mouse Melan-a cells by modified crystal voilet assay,A,,,BAO_0000190,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1926603,Bioorg Med Chem Lett,2011.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,http://www.openphacts.org/units/Nanomolar,1565718,=,1,1,=,,IC50,nM,,300000.0,CHEMBL612558,,ADMET,,,,IC50,uM,UO_0000065,,300.0,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against mouse melan-a cells by modified crystal voilet assay | a | ic50 | = | admet |  | cell-based format | chembl1926603,,cytotoxic|cytotoxicity|toxicity,,300.0,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,cytotox,,toxicity_signal
,,10923947,[],CHEMBL2045322,Cytotoxicity against mouse RAW264.7 cells at 5 uM by MTT assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL2040752,Eur J Med Chem,2011.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,1648513,,1,0,,Not toxic,Activity,,,,CHEMBL612557,Mus musculus,RAW264.7,10090,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against mouse raw264.7 cells at 5 um by mtt assay | a | activity |  | raw264.7 | mus musculus | cell-based format | chembl2040752,,cytotoxic|cytotoxicity|mtt|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,cytotox|\bmtt\b,,no_quantitative_value
,,10924909,[],CHEMBL2045323,Cytotoxicity against mouse RAW264.7 cells at 50 uM by MTT assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL2040752,Eur J Med Chem,2011.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,1648513,,1,0,,Not toxic,Activity,,,,CHEMBL612557,Mus musculus,RAW264.7,10090,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against mouse raw264.7 cells at 50 um by mtt assay | a | activity |  | raw264.7 | mus musculus | cell-based format | chembl2040752,,cytotoxic|cytotoxicity|mtt|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,cytotox|\bmtt\b,,no_quantitative_value
,Not Determined,13950592,[],CHEMBL3132690,Neuroprotective activity against Abeta1-42 peptide-induced neurotoxicity in rat C6 cells assessed as cell viability at 100 uM after 24 hrs by MTT assay,F,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL3124749,Eur J Med Chem,2014.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,1973434,,1,0,,,Activity,,,,CHEMBL614657,Rattus norvegicus,C6,10116,,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,neuroprotective activity against abeta1-42 peptide-induced neurotoxicity in rat c6 cells assessed as cell viability at 100 um after 24 hrs by mtt assay | f | activity |  | c6 | rattus norvegicus | cell-based format | chembl3124749,,cell viability|viability|mtt|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\brat\b,cell viability|\bviability\b|\bmtt\b,,no_quantitative_value
