depmap_id,RTR_score_combined_rank_0_1,combined_RTR_quadrant,RTR_group
ACH-000389,0.9946330738177624,repair-high / removal-high,RTR_high_top20pct
ACH-001205,0.9930795847750864,repair-low / removal-high,RTR_high_top20pct
ACH-000446,0.9775086505190312,repair-low / removal-high,RTR_high_top20pct
ACH-000013,0.9767661476355248,repair-high / removal-high,RTR_high_top20pct
ACH-001078_FAILED_STR,0.9757785467128028,repair-low / removal-high,RTR_high_top20pct
ACH-000499,0.9705882352941176,repair-high / removal-high,RTR_high_top20pct
ACH-000925_FAILED_STR,0.967128027681661,repair-low / removal-high,RTR_high_top20pct
ACH-000163,0.9601535467128028,repair-high / removal-high,RTR_high_top20pct
ACH-000200,0.9567474048442908,repair-high / removal-high,RTR_high_top20pct
ACH-000879,0.9555795847750864,repair-high / removal-high,RTR_high_top20pct
ACH-000400,0.9480968858131488,repair-high / removal-high,RTR_high_top20pct
ACH-000913,0.9468425605536333,repair-high / removal-high,RTR_high_top20pct
ACH-000430,0.9463667820069204,repair-low / removal-high,RTR_high_top20pct
ACH-001022,0.944636678200692,repair-low / removal-high,RTR_high_top20pct
ACH-000866,0.9405384948096888,repair-high / removal-high,RTR_high_top20pct
ACH-000269,0.9394463667820068,repair-low / removal-high,RTR_high_top20pct
ACH-000905,0.9360726643598616,repair-high / removal-high,RTR_high_top20pct
ACH-000897,0.9345912629757784,repair-high / removal-high,RTR_high_top20pct
ACH-000391,0.9339172433679356,repair-low / removal-high,RTR_high_top20pct
ACH-000834,0.928993656286044,repair-high / removal-high,RTR_high_top20pct
ACH-000475,0.9238754325259516,repair-high / removal-high,RTR_high_top20pct
ACH-000418,0.9215614186851212,repair-high / removal-high,RTR_high_top20pct
ACH-000460_FAILED_STR,0.9204152249134948,repair-high / removal-high,RTR_high_top20pct
ACH-000364,0.9203791810841984,repair-high / removal-high,RTR_high_top20pct
ACH-000496,0.918468858131488,repair-high / removal-high,RTR_high_top20pct
ACH-001099,0.916955017301038,repair-low / removal-high,RTR_high_top20pct
ACH-000669,0.9156826701268744,repair-high / removal-high,RTR_high_top20pct
ACH-000052,0.9118656286043828,repair-high / removal-high,RTR_high_top20pct
ACH-000054,0.9109645328719724,repair-high / removal-high,RTR_high_top20pct
ACH-000213,0.9048442906574394,repair-low / removal-high,RTR_high_top20pct
ACH-000010_FAILED_STR,0.903114186851211,repair-low / removal-high,RTR_high_top20pct
ACH-000078,0.8979238754325259,repair-high / removal-high,RTR_high_top20pct
ACH-001210,0.8961937716262975,repair-high / removal-high,RTR_high_top20pct
ACH-000147,0.8953251153402537,repair-high / removal-high,RTR_high_top20pct
ACH-000848,0.8935085063437139,repair-high / removal-high,RTR_high_top20pct
ACH-000139,0.8910863610149942,repair-high / removal-high,RTR_high_top20pct
ACH-000794,0.889273356401384,repair-low / removal-high,RTR_high_top20pct
ACH-000573,0.8882641291810842,repair-high / removal-high,RTR_high_top20pct
ACH-000518,0.8875432525951558,repair-high / removal-high,RTR_high_top20pct
ACH-000133,0.8836541234140716,repair-high / removal-high,RTR_high_top20pct
ACH-000378,0.8823529411764706,repair-high / removal-high,RTR_high_top20pct
ACH-000356,0.8792387543252596,repair-high / removal-high,RTR_high_top20pct
ACH-001212,0.8771626297577855,repair-high / removal-high,RTR_high_top20pct
ACH-000849,0.8756379757785466,repair-high / removal-high,RTR_high_top20pct
ACH-000803,0.8749891868512111,repair-high / removal-high,RTR_high_top20pct
ACH-000685,0.8723039215686275,repair-high / removal-high,RTR_high_top20pct
ACH-000833,0.8688292964244522,repair-high / removal-high,RTR_high_top20pct
ACH-000505,0.8634803921568628,repair-high / removal-high,RTR_high_top20pct
ACH-000255,0.8625180219146482,repair-high / removal-high,RTR_high_top20pct
ACH-000407,0.8622549019607844,repair-high / removal-high,RTR_high_top20pct
ACH-000242,0.8609140715109573,repair-low / removal-high,RTR_high_top20pct
ACH-000982,0.8597282295271049,repair-low / removal-high,RTR_high_top20pct
ACH-000946,0.8552443771626297,repair-high / removal-high,RTR_high_top20pct
ACH-000909,0.8550677623990772,repair-low / removal-high,RTR_high_top20pct
ACH-000756,0.8545919838523645,repair-low / removal-high,RTR_high_top20pct
ACH-000169,0.8521085640138408,repair-high / removal-high,RTR_high_top20pct
ACH-000632,0.8492106401384083,repair-high / removal-high,RTR_high_top20pct
