depmap_id,original_repair_median,original_strict_median,original_broad_median,original_cytotoxic_median,original_repair_minus_cytotoxic_delta,original_repair_preservation_rank,original_removal_vulnerability,original_removal_vulnerability_rank,original_secondary_RTR_rank_proxy,original_quadrant,clip1_repair_median,clip1_strict_median,clip1_broad_median,clip1_cytotoxic_median,clip1_repair_minus_cytotoxic_delta,clip1_repair_preservation_rank,clip1_removal_vulnerability,clip1_removal_vulnerability_rank,clip1_secondary_RTR_rank_proxy,clip1_quadrant,quadrant_changed,delta_change_clip_minus_original
ACH-000007,0.964778022183098,1.00838093017885,0.9631368569142991,0.7877092895191138,0.17706873266398426,0.4479166666666667,0.2122907104808862,0.6875,0.4895833333333333,repair-low / removal-high,0.964778022183098,1.0,0.9631368569142991,0.7877092895191138,0.17706873266398426,0.4479166666666667,0.2122907104808862,0.6875,0.6458333333333334,repair-low / removal-high,False,0.0
ACH-000008,1.02076479085803,0.932103199974992,1.04512324453655,0.816377030837788,0.20438776002024195,0.6770833333333334,0.183622969162212,0.425,0.625,repair-high / removal-low,1.0,0.932103199974992,1.0,0.816377030837788,0.183622969162212,0.8125,0.183622969162212,0.425,0.70625,repair-high / removal-low,False,-0.020764790858029958
ACH-000011,0.950461103512021,0.968914881936789,0.9496772282204715,0.812857842967768,0.13760326054425298,0.3229166666666667,0.18714215703223203,0.46875,0.25625,repair-low / removal-low,0.950461103512021,0.968914881936789,0.9496772282204715,0.812857842967768,0.13760326054425298,0.3229166666666667,0.18714215703223203,0.46875,0.31875,repair-low / removal-low,False,0.0
ACH-000012,0.928232135312621,1.1394065241289248,0.9176319975276634,0.7755586709453763,0.15267346436724472,0.17708333333333334,0.22444132905462366,0.7833333333333333,0.37083333333333335,repair-low / removal-high,0.928232135312621,1.0,0.9176319975276634,0.7755586709453763,0.15267346436724472,0.17708333333333334,0.22444132905462366,0.7833333333333333,0.4666666666666667,repair-low / removal-high,False,0.0
ACH-000013,1.15020730861595,1.197720058736925,1.15020730861595,0.751403651592004,0.39880365702394616,0.9041666666666667,0.24859634840799605,0.8875,0.9708333333333333,repair-high / removal-high,1.0,1.0,1.0,0.751403651592004,0.24859634840799605,0.8125,0.24859634840799605,0.8875,0.9583333333333334,repair-high / removal-high,False,-0.1502073086159501
ACH-000014,0.982695480092231,1.183854390113304,0.982695480092231,0.769982687523828,0.21271279256840292,0.5416666666666666,0.23001731247617196,0.83125,0.6520833333333333,repair-high / removal-high,0.982695480092231,0.967047377215039,0.982695480092231,0.769982687523828,0.21271279256840292,0.5416666666666666,0.23001731247617196,0.83125,0.875,repair-high / removal-high,False,0.0
ACH-000015,0.939883866690436,1.17885024078344,0.926126242271627,0.745149325023186,0.19473454166725002,0.22916666666666666,0.254850674976814,0.9166666666666666,0.5708333333333333,repair-low / removal-high,0.939883866690436,1.0,0.926126242271627,0.745149325023186,0.19473454166725002,0.22916666666666666,0.254850674976814,0.9166666666666666,0.76875,repair-low / removal-high,False,0.0
ACH-000018,0.949628285219352,0.978661279928897,0.948917265914388,0.843421294255317,0.10620699096403508,0.3104166666666667,0.15657870574468302,0.19375,0.13333333333333333,repair-low / removal-low,0.949628285219352,0.978661279928897,0.948917265914388,0.843421294255317,0.10620699096403508,0.3104166666666667,0.15657870574468302,0.19375,0.16875,repair-low / removal-low,False,0.0
ACH-000019,0.950444273665239,1.091762460857036,0.940546165952542,0.7839806800349705,0.16646359363026852,0.32083333333333336,0.21601931996502954,0.7291666666666666,0.44375,repair-low / removal-high,0.950444273665239,0.980116871026941,0.940546165952542,0.7839806800349705,0.16646359363026852,0.32083333333333336,0.21601931996502954,0.7291666666666666,0.58125,repair-low / removal-high,False,0.0
ACH-000021,1.01016430775115,1.005207176231347,1.01016430775115,0.8011324573157774,0.20903185043537253,0.6354166666666666,0.19886754268422258,0.5604166666666667,0.64375,repair-high / removal-high,1.0,0.993838178061037,1.0,0.8011324573157774,0.19886754268422258,0.8125,0.19886754268422258,0.5604166666666667,0.7958333333333333,repair-high / removal-high,False,-0.010164307751149959
