lineage,n_in_lineage,n_in_top100,fraction_in_top100,fisher_p_one_sided,aggregate,BH_FDR,fisher_p_two_sided,BH_FDR_two_sided
Bone+Soft Tissue (aggregate),37,17,0.4594594594594595,2.532320479362804e-05,True,0.0005824337102534,2.5323204793628038e-05,0.0005824337102534449
Bone,23,11,0.4782608695652174,0.0005401901049407,False,0.0062121862068188,0.0005401901049407676,0.0062121862068188274
Soft Tissue,14,6,0.4285714285714285,0.0212713987446565,False,0.1630807237090335,0.021271398744656545,0.1630807237090335
Fibroblast,1,1,1.0,0.1730103806228373,False,0.9557376169391404,0.17301038062283738,0.6632064590542099
Uterus,24,6,0.25,0.2211688382770468,False,0.9557376169391404,0.2804431946560865,0.7258301965022228
Liver,21,5,0.238095238095238,0.2901633262798351,False,0.9557376169391404,0.3858029202442433,0.8066788332379633
CNS/Brain,42,9,0.2142857142857142,0.2908766660249558,False,0.9557376169391404,0.5236882109917009,0.893781382811601
Peripheral Nervous System,12,3,0.25,0.3448761025319442,False,0.9915187947793396,0.4447544878444317,0.8524461017018274
Bowel,35,7,0.2,0.4023003126385401,False,1.0,0.6462432979264974,0.92897474076934
Ovary/Fallopian Tube,38,7,0.1842105263157894,0.4960089617529398,False,1.0,0.8253306490809174,1.0
Head and Neck,28,5,0.1785714285714285,0.5497052703213717,False,1.0,1.0,1.0
Bladder/Urinary Tract,24,4,0.1666666666666666,0.6206827611356591,False,1.0,1.0,1.0
Breast,26,4,0.1538461538461538,0.6871047656981684,False,1.0,1.0,1.0
Thyroid,9,1,0.1111111111111111,0.8214418830203161,False,1.0,1.0,1.0
Esophagus/Stomach,45,6,0.1333333333333333,0.824877952994303,False,1.0,0.5440408417114093,0.893781382811601
Pancreas,37,4,0.1081081081081081,0.9107110299161608,False,1.0,0.37101620667580604,0.8066788332379633
Kidney,25,2,0.08,0.9496298948716384,False,1.0,0.2840205116747828,0.7258301965022228
Lung,100,11,0.11,0.9800282681083394,False,1.0,0.08037776702480229,0.4153703152230125
Skin,43,3,0.0697674418604651,0.9884078641559704,False,1.0,0.09029789461369836,0.4153703152230125
Prostate,4,0,0.0,1.0,False,1.0,1.0,1.0
Ampulla of Vater,1,0,0.0,1.0,False,1.0,1.0,1.0
Biliary Tract,6,0,0.0,1.0,False,1.0,0.5964327308943715,0.9145301873713697
Pleura,10,0,0.0,1.0,False,1.0,0.22369669423233834,0.7258301965022228
